# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
0.0200 VerifyPubKeyp8 1312 1 0.0100 p8 p21 299 N p8->p21
0.0200 KemPubKeyp28 2094 1 0.0100 p28 p29 299 N p28->p29
0.0200 VerifyPubKeyp4 1312 1 0.0100 p4 p24 299 N p4->p24
0.0200 KemPubKeyp14 2092 1 0.0100 p14 p5 299 N p14->p5
0.0200 VerifyPubKeyp6 1312 1 0.0100 p6 p19 299 N p6->p19
0.0200 KemPubKeyp17 2093 1 0.0100 p17 p2 299 N p17->p2
0.0200 KemPubKeyp22 2084 1 0.0100 p22 p27 299 N p22->p27
0.0200 KemPubKeyp10 2106 1 0.0100 p10 p16 299 N p10->p16
0.0200 VerifyPubKeyp7 1312 1 0.0100 p7 p15 299 N p7->p15
0.0200 VerifyPubKeyp9 1312 1 0.0100 p9 p25 299 N p9->p25
0.0300 CiphertextFromp2 2000 1 0.0100 p2 p17 299 N p2->p17
0.0300 CiphertextFromp29 2000 1 0.0100 p29 p28 299 N p29->p28
0.0300 KemPubKeyp25 2075 1 0.0100 p25 p9 299 N p25->p9
0.0300 CiphertextFromp27 2000 1 0.0100 p27 p22 299 N p27->p22
0.0300 KemPubKeyp13 2085 1 0.0100 p13 p15 299 N p13->p15
0.0300 VerifyPubKeyp21 1312 1 0.0100 p21 p14 299 N p21->p14
0.0300 KemPubKeyp10 2106 1 0.0100 p10 p23 299 N p10->p23
0.0300 KemPubKeyp24 2102 1 0.0100 p24 p6 299 N p24->p6
0.0400 CiphertextFromp16 2000 1 0.0200 p16 p10 299 N p16->p10
0.0400 VerifyPubKeyp4 1312 1 0.0100 p4 p19 299 N p4->p19
0.0400 VerifyPubKeyp7 1312 1 0.0100 p7 p13 299 N p7->p13
0.0400 VerifyPubKeyp29 1312 1 0.0100 p29 p28 299 N p29->p28
0.0400 VerifyPubKeyp25 1312 1 0.0100 p25 p12 299 N p25->p12
0.0400 KemPubKeyp14 2092 1 0.0100 p14 p21 299 N p14->p21
0.0400 KemPubKeyp5 2089 1 0.0200 p5 p8 299 N p5->p8
0.0400 VerifyPubKeyp2 1312 1 0.0100 p2 p17 299 N p2->p17
0.0400 CiphertextFromp6 2000 1 0.0100 p6 p24 299 N p6->p24
0.0400 VerifyPubKeyp27 1312 1 0.0100 p27 p11 299 N p27->p11
