# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
0.0200 VerifyPubKeyp63 1312 1 0.0100 p63 p119 299 N p63->p119
0.0200 KemPubKeyp82 2117 1 0.0100 p82 p97 299 N p82->p97
0.0200 KemPubKeyp19 2087 1 0.0100 p19 p79 299 N p19->p79
0.0200 VerifyPubKeyp81 1312 1 0.0100 p81 p60 299 N p81->p60
0.0200 VerifyPubKeyp34 1312 1 0.0100 p34 p13 299 N p34->p13
0.0200 VerifyPubKeyp68 1312 1 0.0100 p68 p64 299 N p68->p64
0.0200 VerifyPubKeyp69 1312 1 0.0100 p69 p46 299 N p69->p46
0.0200 VerifyPubKeyp87 1312 1 0.0100 p87 p106 299 N p87->p106
0.0200 VerifyPubKeyp48 1312 1 0.0100 p48 p115 299 N p48->p115
0.0200 VerifyPubKeyp71 1312 1 0.0100 p71 p49 299 N p71->p49
0.0200 VerifyPubKeyp62 1312 1 0.0100 p62 p40 299 N p62->p40
0.0200 KemPubKeyp101 2104 1 0.0100 p101 p88 299 N p101->p88
0.0200 VerifyPubKeyp21 1312 1 0.0100 p21 p117 299 N p21->p117
0.0200 KemPubKeyp26 2107 1 0.0100 p26 p39 299 N p26->p39
0.0200 VerifyPubKeyp51 1312 1 0.0100 p51 p50 299 N p51->p50
0.0200 KemPubKeyp37 2100 1 0.0100 p37 p65 299 N p37->p65
0.0200 KemPubKeyp109 2054 1 0.0100 p109 p15 299 N p109->p15
0.0200 KemPubKeyp114 2070 1 0.0100 p114 p78 299 N p114->p78
0.0200 VerifyPubKeyp93 1312 1 0.0100 p93 p76 299 N p93->p76
0.0200 KemPubKeyp83 2116 1 0.0100 p83 p96 299 N p83->p96
0.0200 VerifyPubKeyp108 1312 1 0.0100 p108 p105 299 N p108->p105
0.0200 VerifyPubKeyp77 1312 1 0.0100 p77 p107 299 N p77->p107
0.0200 VerifyPubKeyp92 1312 1 0.0100 p92 p90 299 N p92->p90
0.0200 KemPubKeyp66 2096 1 0.0100 p66 p7 299 N p66->p7
0.0200 VerifyPubKeyp110 1312 1 0.0100 p110 p104 299 N p110->p104
0.0200 VerifyPubKeyp52 1312 1 0.0100 p52 p29 299 N p52->p29
0.0200 KemPubKeyp116 2099 1 0.0100 p116 p3 299 N p116->p3
0.0200 VerifyPubKeyp91 1312 1 0.0100 p91 p24 299 N p91->p24
0.0200 VerifyPubKeyp8 1312 1 0.0100 p8 p5 299 N p8->p5
0.0200 KemPubKeyp38 2083 1 0.0100 p38 p84 299 N p38->p84
0.0200 VerifyPubKeyp118 1312 1 0.0100 p118 p102 299 N p118->p102
0.0200 VerifyPubKeyp54 1312 1 0.0100 p54 p4 299 N p54->p4
0.0200 VerifyPubKeyp28 1312 1 0.0100 p28 p16 299 N p28->p16
0.0200 VerifyPubKeyp59 1312 1 0.0100 p59 p30 299 N p59->p30
0.0200 VerifyPubKeyp112 1312 1 0.0100 p112 p10 299 N p112->p10
0.0200 VerifyPubKeyp9 1312 1 0.0100 p9 p58 299 N p9->p58
0.0200 KemPubKeyp36 2123 1 0.0100 p36 p53 299 N p36->p53
0.0200 VerifyPubKeyp85 1312 1 0.0100 p85 p44 299 N p85->p44
0.0200 VerifyPubKeyp32 1312 1 0.0100 p32 p27 299 N p32->p27
0.0200 VerifyPubKeyp56 1312 1 0.0100 p56 p111 299 N p56->p111
0.0200 VerifyPubKeyp41 1312 1 0.0100 p41 p20 299 N p41->p20
0.0200 KemPubKeyp12 2097 1 0.0100 p12 p43 299 N p12->p43
