# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
0.0200 KemPubKeyp12 2105 1 0.0100 p12 p8 299 N p12->p8
0.0200 VerifyPubKeyp4 1312 1 0.0100 p4 p19 299 N p4->p19
0.0200 VerifyPubKeyp16 1312 1 0.0100 p16 p1 299 N p16->p1
0.0200 KemPubKeyp15 2117 1 0.0100 p15 p5 299 N p15->p5
0.0200 KemPubKeyp6 2131 1 0.0100 p6 p9 299 N p6->p9
0.0300 VerifyPubKeyp16 1312 1 0.0100 p16 p10 299 N p16->p10
0.0300 KemPubKeyp19 2083 1 0.0200 p19 p4 299 N p19->p4
0.0300 VerifyPubKeyp6 1312 1 0.0100 p6 p14 299 N p6->p14
0.0300 VerifyPubKeyp8 1312 1 0.0200 p8 p12 299 N p8->p12
0.0300 CiphertextFromp5 2097 1 0.0100 p5 p15 299 N p5->p15
0.0400 KemPubKeyp1 2072 1 0.0200 p1 p16 299 N p1->p16
0.0400 VerifyPubKeyp5 1312 1 0.0100 p5 p15 299 N p5->p15
0.0400 CiphertextFromp8 2115 1 0.0200 p8 p12 299 N p8->p12
0.0400 CiphertextFromp9 2072 1 0.0200 p9 p6 299 N p9->p6
0.0400 VerifyPubKeyp19 1312 1 0.0100 p19 p11 299 N p19->p11
0.0500 VerifyPubKeyp6 1312 1 0.0100 p6 p5 299 N p6->p5
0.0500 CiphertextFromp4 2093 1 0.0200 p4 p19 299 N p4->p19
0.0500 VerifyPubKeyp9 1312 1 0.0100 p9 p14 299 N p9->p14
0.0500 CiphertextFromp16 2101 1 0.0100 p16 p1 299 N p16->p1
0.0600 KemPubKeyp10 2081 1 0.0100 p10 p16 299 N p10->p16
0.0600 VerifyPubKeyp4 1312 1 0.0100 p4 p11 299 N p4->p11
0.0600 KemPubKeyp5 2091 1 0.0200 p5 p6 299 N p5->p6
0.0600 KemPubKeyp14 2093 1 0.0200 p14 p9 299 N p14->p9
0.0700 CiphertextFromp16 2103 1 0.0100 p16 p10 299 N p16->p10
0.0700 KemPubKeyp11 2100 1 0.0200 p11 p19 299 N p11->p19
0.0700 CiphertextFromp6 2100 1 0.0100 p6 p5 299 N p6->p5
0.0700 CiphertextFromp9 2081 1 0.0100 p9 p14 299 N p9->p14
0.0800 VerifyPubKeyp9 1312 1 0.0100 p9 p6 299 N p9->p6
0.0800 CiphertextFromp19 2081 1 0.0100 p19 p11 299 N p19->p11
0.1000 KemPubKeyp14 2093 1 0.0200 p14 p6 299 N p14->p6
0.1000 KemPubKeyp11 2100 1 0.0200 p11 p4 299 N p11->p4
0.1100 CiphertextFromp4 2113 1 0.0100 p4 p11 299 N p4->p11
0.1100 CiphertextFromp6 2089 1 0.0100 p6 p14 299 N p6->p14
9.7000 VerifyPubKeyp7 1312 1 0.0100 p7 p10 299 N p7->p10
9.7100 KemPubKeyp10 2081 1 0.0200 p10 p7 299 N p10->p7
9.7200 CiphertextFromp7 2088 1 0.0100 p7 p10 299 N p7->p10
34.0200 VerifyPubKeyp6 1312 1 0.0100 p6 p15 299 N p6->p15
34.0300 KemPubKeyp15 2117 1 0.0100 p15 p6 299 N p15->p6
34.0400 CiphertextFromp6 2095 1 0.0100 p6 p15 299 N p6->p15
115.5700 KemPubKeyp15 2117 1 0.0100 p15 p9 299 N p15->p9
115.5800 CiphertextFromp9 2111 1 0.0100 p9 p15 299 N p9->p15
115.5900 VerifyPubKeyp9 1312 1 0.0100 p9 p15 299 N p9->p15
118.1400 KemPubKeyp14 2093 1 0.0100 p14 p15 299 N p14->p15
118.1500 CiphertextFromp15 2095 1 0.0100 p15 p14 299 N p15->p14
118.1600 VerifyPubKeyp15 1312 1 0.0100 p15 p14 299 N p15->p14
130.4900 KemPubKeyp14 2093 1 0.0100 p14 p19 299 N p14->p19
130.5000 CiphertextFromp19 2080 1 0.0100 p19 p14 299 N p19->p14
130.5100 VerifyPubKeyp19 1312 1 0.0100 p19 p14 299 N p19->p14
198.3100 VerifyPubKeyp17 1312 1 0.0100 p17 p10 299 N p17->p10
198.3200 KemPubKeyp10 2081 1 0.0200 p10 p17 299 N p10->p17
198.3300 CiphertextFromp17 2093 1 0.0100 p17 p10 299 N p17->p10
202.0900 KemPubKeyp17 2091 1 0.0100 p17 p7 299 N p17->p7
202.1000 VerifyPubKeyp7 1312 1 0.0200 p7 p17 299 N p7->p17
202.1100 CiphertextFromp7 2092 1 0.0200 p7 p17 299 N p7->p17
206.2800 VerifyPubKeyp3 1312 1 0.0100 p3 p11 299 N p3->p11
206.2900 KemPubKeyp11 2100 1 0.0100 p11 p3 299 N p11->p3
206.3000 CiphertextFromp3 2097 1 0.0100 p3 p11 299 N p3->p11
217.7500 KemPubKeyp14 2093 1 0.0100 p14 p4 299 N p14->p4
217.7600 VerifyPubKeyp4 1312 1 0.0200 p4 p14 299 N p4->p14
217.7700 CiphertextFromp4 2092 1 0.0200 p4 p14 299 N p4->p14
286.4500 KemPubKeyp19 2083 1 0.0100 p19 p9 299 N p19->p9
286.4600 CiphertextFromp9 2108 1 0.0100 p9 p19 299 N p9->p19
286.4700 VerifyPubKeyp9 1312 1 0.0100 p9 p19 299 N p9->p19
305.6900 KemPubKeyp16 2111 1 0.0100 p16 p17 299 N p16->p17
305.7000 CiphertextFromp17 2097 1 0.0100 p17 p16 299 N p17->p16
305.7100 VerifyPubKeyp17 1312 1 0.0100 p17 p16 299 N p17->p16
315.2800 KemPubKeyp12 2105 1 0.0100 p12 p15 299 N p12->p15
315.2900 CiphertextFromp15 2100 1 0.0100 p15 p12 299 N p15->p12
315.3000 VerifyPubKeyp15 1312 1 0.0100 p15 p12 299 N p15->p12
327.1500 VerifyPubKeyp18 1312 1 0.0100 p18 p11 299 N p18->p11
327.1600 KemPubKeyp11 2100 1 0.0200 p11 p18 299 N p11->p18
327.1700 CiphertextFromp18 2105 1 0.0100 p18 p11 299 N p18->p11
328.2300 KemPubKeyp4 2097 1 0.0100 p4 p9 299 N p4->p9
328.2400 CiphertextFromp9 2071 1 0.0100 p9 p4 299 N p9->p4
328.2500 VerifyPubKeyp9 1312 1 0.0100 p9 p4 299 N p9->p4
419.9600 KemPubKeyp15 2117 1 0.0100 p15 p8 299 N p15->p8
419.9700 VerifyPubKeyp8 1312 1 0.0100 p8 p15 299 N p8->p15
