# messageDelay  cumulativeProbability
0.0200 0.3753
0.0200 0.3765
0.0200 0.3776
0.0200 0.3788
0.0200 0.3800
0.0200 0.3812
0.0200 0.3824
0.0200 0.3835
0.0200 0.3847
0.0200 0.3859
0.0200 0.3871
0.0200 0.3882
0.0200 0.3894
0.0200 0.3906
0.0200 0.3918
0.0200 0.3929
0.0200 0.3941
0.0200 0.3953
0.0200 0.3965
0.0200 0.3976
0.0200 0.3988
0.0200 0.4000
0.0200 0.4012
0.0200 0.4024
0.0200 0.4035
0.0200 0.4047
0.0200 0.4059
0.0200 0.4071
0.0200 0.4082
0.0200 0.4094
0.0200 0.4106
0.0200 0.4118
0.0200 0.4129
0.0200 0.4141
0.0200 0.4153
0.0200 0.4165
0.0200 0.4176
0.0200 0.4188
0.0200 0.4200
0.0200 0.4212
0.0200 0.4224
0.0200 0.4235
0.0200 0.4247
0.0200 0.4259
0.0200 0.4271
0.0200 0.4282
0.0200 0.4294
0.0200 0.4306
0.0200 0.4318
0.0200 0.4329
0.0200 0.4341
0.0200 0.4353
0.0200 0.4365
0.0200 0.4376
0.0200 0.4388
0.0200 0.4400
0.0200 0.4412
0.0200 0.4424
0.0200 0.4435
0.0200 0.4447
0.0200 0.4459
0.0200 0.4471
0.0200 0.4482
0.0200 0.4494
0.0200 0.4506
0.0200 0.4518
