# messageDelay  cumulativeProbability
0.0100 0.0045
0.0100 0.0089
0.0100 0.0134
0.0100 0.0179
0.0100 0.0223
0.0100 0.0268
0.0100 0.0312
0.0100 0.0357
0.0100 0.0402
0.0100 0.0446
0.0100 0.0491
0.0100 0.0536
0.0100 0.0580
0.0100 0.0625
0.0100 0.0670
0.0100 0.0714
0.0100 0.0759
0.0100 0.0804
0.0100 0.0848
0.0100 0.0893
0.0100 0.0937
0.0100 0.0982
0.0100 0.1027
0.0100 0.1071
0.0100 0.1116
0.0100 0.1161
0.0100 0.1205
0.0100 0.1250
0.0100 0.1295
0.0100 0.1339
0.0100 0.1384
0.0100 0.1429
0.0100 0.1473
0.0100 0.1518
0.0100 0.1563
0.0100 0.1607
0.0100 0.1652
0.0100 0.1696
0.0100 0.1741
0.0100 0.1786
0.0100 0.1830
0.0100 0.1875
0.0100 0.1920
0.0100 0.1964
0.0100 0.2009
0.0100 0.2054
0.0100 0.2098
0.0100 0.2143
0.0100 0.2188
0.0100 0.2232
0.0100 0.2277
0.0100 0.2321
0.0100 0.2366
0.0100 0.2411
0.0100 0.2455
0.0100 0.2500
0.0100 0.2545
0.0100 0.2589
0.0100 0.2634
0.0100 0.2679
0.0100 0.2723
0.0100 0.2768
0.0100 0.2813
0.0100 0.2857
0.0100 0.2902
0.0100 0.2946
0.0100 0.2991
0.0100 0.3036
0.0100 0.3080
0.0100 0.3125
0.0100 0.3170
0.0100 0.3214
0.0100 0.3259
0.0100 0.3304
0.0100 0.3348
0.0100 0.3393
0.0100 0.3437
0.0100 0.3482
0.0100 0.3527
0.0100 0.3571
0.0100 0.3616
0.0100 0.3661
0.0100 0.3705
0.0100 0.3750
0.0100 0.3795
0.0100 0.3839
0.0100 0.3884
0.0100 0.3929
0.0200 0.3973
0.0200 0.4018
0.0200 0.4062
0.0200 0.4107
0.0200 0.4152
0.0200 0.4196
0.0200 0.4241
0.0200 0.4286
0.0200 0.4330
0.0200 0.4375
0.0200 0.4420
0.0200 0.4464
0.0200 0.4509
0.0200 0.4554
0.0200 0.4598
0.0200 0.4643
0.0200 0.4687
0.0200 0.4732
0.0200 0.4777
0.0200 0.4821
