# time  created  delivered  delivered/created
0.0100 1 0 0.0000
0.0100 2 0 0.0000
0.0100 3 0 0.0000
0.0100 4 0 0.0000
0.0100 5 0 0.0000
0.0100 6 0 0.0000
0.0100 7 0 0.0000
0.0100 8 0 0.0000
0.0100 9 0 0.0000
0.0100 10 0 0.0000
0.0100 11 0 0.0000
0.0100 12 0 0.0000
0.0100 13 0 0.0000
0.0100 14 0 0.0000
0.0100 15 0 0.0000
0.0100 16 0 0.0000
0.0100 17 0 0.0000
0.0100 18 0 0.0000
0.0100 19 0 0.0000
0.0100 20 0 0.0000
0.0200 21 0 0.0000
0.0200 21 1 0.0476
0.0200 22 1 0.0455
0.0200 23 1 0.0435
0.0200 24 1 0.0417
0.0200 25 1 0.0400
0.0200 26 1 0.0385
0.0200 26 2 0.0769
0.0200 27 2 0.0741
0.0200 28 2 0.0714
0.0200 29 2 0.0690
0.0200 30 2 0.0667
0.0200 30 3 0.1000
0.0200 31 3 0.0968
0.0200 32 3 0.0938
0.0200 33 3 0.0909
0.0200 34 3 0.0882
0.0200 35 3 0.0857
0.0200 36 3 0.0833
0.0200 37 3 0.0811
0.0200 38 3 0.0789
0.0200 38 4 0.1053
0.0200 39 4 0.1026
0.0200 40 4 0.1000
0.0200 41 4 0.0976
0.0200 42 4 0.0952
0.0200 43 4 0.0930
0.0200 44 4 0.0909
0.0200 44 5 0.1136
0.0200 45 5 0.1111
0.0300 46 5 0.1087
0.0300 46 6 0.1304
0.0300 47 6 0.1277
0.0300 48 6 0.1250
0.0300 49 6 0.1224
0.0300 49 7 0.1429
0.0300 50 7 0.1400
0.0300 51 7 0.1373
0.0300 52 7 0.1346
0.0300 53 7 0.1321
0.0300 54 7 0.1296
0.0300 55 7 0.1273
0.0300 56 7 0.1250
0.0300 57 7 0.1228
0.0300 57 8 0.1404
0.0300 58 8 0.1379
0.0300 59 8 0.1356
0.0300 60 8 0.1333
0.0300 60 9 0.1500
0.0300 61 9 0.1475
0.0300 62 9 0.1452
0.0300 63 9 0.1429
0.0300 63 10 0.1587
0.0400 64 10 0.1563
0.0400 64 11 0.1719
0.0400 65 11 0.1692
0.0400 66 11 0.1667
0.0400 67 11 0.1642
0.0400 68 11 0.1618
0.0400 68 12 0.1765
0.0400 68 13 0.1912
0.0400 69 13 0.1884
0.0400 70 13 0.1857
0.0400 70 14 0.2000
0.0400 71 14 0.1972
0.0400 72 14 0.1944
0.0400 73 14 0.1918
0.0400 74 14 0.1892
0.0400 75 14 0.1867
0.0400 75 15 0.2000
0.0400 76 15 0.1974
0.0400 77 15 0.1948
0.0500 78 15 0.1923
0.0500 78 16 0.2051
0.0500 79 16 0.2025
0.0500 80 16 0.2000
0.0500 81 16 0.1975
0.0500 81 17 0.2099
0.0500 82 17 0.2073
0.0500 83 17 0.2048
0.0500 84 17 0.2024
0.0500 84 18 0.2143
0.0500 85 18 0.2118
0.0500 86 18 0.2093
0.0500 86 19 0.2209
0.0500 87 19 0.2184
0.0600 88 19 0.2159
0.0600 88 20 0.2273
0.0600 89 20 0.2247
0.0600 90 20 0.2222
0.0600 90 21 0.2333
0.0600 91 21 0.2308
0.0600 91 22 0.2418
0.0600 92 22 0.2391
0.0600 93 22 0.2366
0.0600 94 22 0.2340
0.0600 95 22 0.2316
0.0600 96 22 0.2292
0.0600 97 22 0.2268
0.0600 97 23 0.2371
0.0600 98 23 0.2347
0.0700 98 24 0.2449
0.0700 99 24 0.2424
0.0700 100 24 0.2400
0.0700 100 25 0.2500
0.0700 101 25 0.2475
0.0700 102 25 0.2451
0.0700 102 26 0.2549
0.0700 103 26 0.2524
0.0700 103 27 0.2621
0.0800 104 27 0.2596
0.0800 105 27 0.2571
0.0800 106 27 0.2547
0.0800 106 28 0.2642
0.0800 106 29 0.2736
0.0900 107 29 0.2710
0.0900 108 29 0.2685
0.1000 109 29 0.2661
0.1000 109 30 0.2752
0.1000 110 30 0.2727
0.1000 111 30 0.2703
0.1000 111 31 0.2793
0.1000 112 31 0.2768
0.1100 112 32 0.2857
0.1100 112 33 0.2946
9.6900 113 33 0.2920
9.6900 114 33 0.2895
9.7000 115 33 0.2870
9.7000 115 34 0.2957
9.7000 116 34 0.2931
9.7100 117 34 0.2906
9.7100 117 35 0.2991
9.7100 118 35 0.2966
9.7200 118 36 0.3051
34.0100 119 36 0.3025
34.0100 120 36 0.3000
34.0200 121 36 0.2975
34.0200 122 36 0.2951
34.0200 122 37 0.3033
34.0300 123 37 0.3008
34.0300 123 38 0.3089
34.0300 124 38 0.3065
34.0400 124 39 0.3145
115.5600 125 39 0.3120
115.5600 126 39 0.3095
115.5700 127 39 0.3071
115.5700 128 39 0.3047
115.5700 128 40 0.3125
115.5700 129 40 0.3101
115.5800 130 40 0.3077
115.5800 130 41 0.3154
115.5900 131 41 0.3130
115.5900 131 42 0.3206
118.1300 132 42 0.3182
118.1300 133 42 0.3158
118.1400 134 42 0.3134
118.1400 135 42 0.3111
118.1400 135 43 0.3185
118.1400 136 43 0.3162
118.1500 137 43 0.3139
118.1500 137 44 0.3212
118.1600 138 44 0.3188
118.1600 138 45 0.3261
130.4800 139 45 0.3237
130.4800 140 45 0.3214
130.4900 141 45 0.3191
130.4900 142 45 0.3169
130.4900 142 46 0.3239
130.4900 143 46 0.3217
130.5000 144 46 0.3194
130.5000 144 47 0.3264
130.5100 145 47 0.3241
130.5100 145 48 0.3310
198.3000 146 48 0.3288
198.3000 147 48 0.3265
198.3100 148 48 0.3243
198.3100 148 49 0.3311
198.3100 149 49 0.3289
198.3200 150 49 0.3267
198.3200 150 50 0.3333
198.3200 151 50 0.3311
198.3300 151 51 0.3377
202.0800 152 51 0.3355
202.0800 153 51 0.3333
202.0900 154 51 0.3312
202.0900 154 52 0.3377
202.0900 155 52 0.3355
202.0900 156 52 0.3333
202.1000 157 52 0.3312
202.1000 157 53 0.3376
202.1100 157 54 0.3439
206.2700 158 54 0.3418
206.2700 159 54 0.3396
206.2800 160 54 0.3375
206.2800 161 54 0.3354
206.2800 161 55 0.3416
206.2900 162 55 0.3395
206.2900 162 56 0.3457
206.2900 163 56 0.3436
206.3000 163 57 0.3497
217.7400 164 57 0.3476
217.7400 165 57 0.3455
217.7500 166 57 0.3434
217.7500 166 58 0.3494
217.7500 167 58 0.3473
217.7500 168 58 0.3452
217.7600 169 58 0.3432
217.7600 169 59 0.3491
217.7700 169 60 0.3550
286.4400 170 60 0.3529
286.4400 171 60 0.3509
286.4500 172 60 0.3488
286.4500 172 61 0.3547
286.4500 173 61 0.3526
286.4500 174 61 0.3506
286.4600 175 61 0.3486
286.4600 175 62 0.3543
286.4700 176 62 0.3523
286.4700 176 63 0.3580
305.6800 177 63 0.3559
305.6800 178 63 0.3539
305.6900 179 63 0.3520
305.6900 179 64 0.3575
305.6900 180 64 0.3556
305.6900 181 64 0.3536
305.7000 182 64 0.3516
305.7000 182 65 0.3571
305.7100 183 65 0.3552
305.7100 183 66 0.3607
315.2700 184 66 0.3587
315.2700 185 66 0.3568
315.2800 186 66 0.3548
315.2800 186 67 0.3602
315.2800 187 67 0.3583
315.2800 188 67 0.3564
315.2900 189 67 0.3545
315.2900 189 68 0.3598
315.3000 190 68 0.3579
315.3000 190 69 0.3632
327.1400 191 69 0.3613
327.1400 192 69 0.3594
327.1500 193 69 0.3575
327.1500 193 70 0.3627
327.1500 194 70 0.3608
327.1600 195 70 0.3590
327.1600 195 71 0.3641
327.1600 196 71 0.3622
327.1700 196 72 0.3673
328.2200 197 72 0.3655
328.2200 198 72 0.3636
328.2300 199 72 0.3618
328.2300 199 73 0.3668
328.2300 200 73 0.3650
328.2300 201 73 0.3632
328.2400 202 73 0.3614
328.2400 202 74 0.3663
328.2500 203 74 0.3645
328.2500 203 75 0.3695
419.9500 204 75 0.3676
419.9500 205 75 0.3659
419.9600 206 75 0.3641
419.9600 207 75 0.3623
419.9600 207 76 0.3671
419.9600 208 76 0.3654
419.9700 209 76 0.3636
419.9700 209 77 0.3684
419.9800 209 78 0.3732
431.2600 210 78 0.3714
431.2600 211 78 0.3697
431.2700 212 78 0.3679
431.2700 212 79 0.3726
431.2700 213 79 0.3709
431.2700 214 79 0.3692
431.2800 215 79 0.3674
431.2800 215 80 0.3721
431.2900 216 80 0.3704
431.2900 216 81 0.3750
447.3600 217 81 0.3733
447.3600 218 81 0.3716
447.3700 219 81 0.3699
447.3700 219 82 0.3744
447.3700 220 82 0.3727
447.3700 221 82 0.3710
447.3800 222 82 0.3694
447.3800 222 83 0.3739
447.3900 223 83 0.3722
447.3900 223 84 0.3767
456.2400 224 84 0.3750
456.2400 225 84 0.3733
456.2500 226 84 0.3717
456.2500 226 85 0.3761
456.2500 227 85 0.3744
456.2600 228 85 0.3728
456.2600 228 86 0.3772
456.2600 229 86 0.3755
456.2700 229 87 0.3799
493.4600 230 87 0.3783
493.4600 231 87 0.3766
493.4700 232 87 0.3750
493.4700 232 88 0.3793
493.4700 233 88 0.3777
493.4700 234 88 0.3761
493.4800 235 88 0.3745
493.4800 235 89 0.3787
493.4900 236 89 0.3771
493.4900 236 90 0.3814
538.5100 237 90 0.3797
538.5100 238 90 0.3782
538.5200 239 90 0.3766
538.5200 240 90 0.3750
538.5200 240 91 0.3792
538.5200 241 91 0.3776
538.5300 242 91 0.3760
538.5300 242 92 0.3802
538.5400 242 93 0.3843
600.1200 243 93 0.3827
600.1200 244 93 0.3811
600.1300 245 93 0.3796
600.1300 246 93 0.3780
600.1300 246 94 0.3821
600.1400 247 94 0.3806
600.1400 247 95 0.3846
600.1400 248 95 0.3831
600.1500 248 96 0.3871
646.7800 249 96 0.3855
646.7800 250 96 0.3840
646.7900 251 96 0.3825
646.7900 252 96 0.3810
646.7900 252 97 0.3849
646.7900 253 97 0.3834
646.8000 254 97 0.3819
646.8000 254 98 0.3858
646.8100 254 99 0.3898
660.5200 255 99 0.3882
660.5200 256 99 0.3867
660.5300 257 99 0.3852
660.5300 257 100 0.3891
660.5300 258 100 0.3876
660.5400 259 100 0.3861
660.5400 259 101 0.3900
660.5400 260 101 0.3885
660.5500 260 102 0.3923
667.6000 261 102 0.3908
667.6000 262 102 0.3893
667.6100 263 102 0.3878
667.6100 263 103 0.3916
667.6100 264 103 0.3902
667.6100 265 103 0.3887
667.6200 266 103 0.3872
667.6200 266 104 0.3910
667.6300 267 104 0.3895
667.6300 267 105 0.3933
683.9900 268 105 0.3918
683.9900 269 105 0.3903
684.0000 270 105 0.3889
684.0000 271 105 0.3875
684.0000 271 106 0.3911
684.0000 272 106 0.3897
684.0100 273 106 0.3883
684.0100 273 107 0.3919
684.0200 273 108 0.3956
698.8900 274 108 0.3942
698.8900 275 108 0.3927
698.9000 276 108 0.3913
698.9000 276 109 0.3949
698.9000 277 109 0.3935
698.9100 278 109 0.3921
698.9100 278 110 0.3957
698.9100 279 110 0.3943
698.9200 279 111 0.3978
815.0100 280 111 0.3964
815.0100 281 111 0.3950
815.0200 282 111 0.3936
815.0200 283 111 0.3922
