# time  created  delivered  delivered/created
0.0100 1 0 0.0000
0.0100 2 0 0.0000
0.0100 3 0 0.0000
0.0100 4 0 0.0000
0.0100 5 0 0.0000
0.0100 6 0 0.0000
0.0100 7 0 0.0000
0.0100 8 0 0.0000
0.0100 9 0 0.0000
0.0100 10 0 0.0000
0.0100 11 0 0.0000
0.0100 12 0 0.0000
0.0100 13 0 0.0000
0.0100 14 0 0.0000
0.0100 15 0 0.0000
0.0100 16 0 0.0000
0.0100 17 0 0.0000
0.0100 18 0 0.0000
0.0100 19 0 0.0000
0.0100 20 0 0.0000
0.0100 21 0 0.0000
0.0100 22 0 0.0000
0.0100 23 0 0.0000
0.0100 24 0 0.0000
0.0100 25 0 0.0000
0.0100 26 0 0.0000
0.0100 27 0 0.0000
0.0100 28 0 0.0000
0.0100 29 0 0.0000
0.0100 30 0 0.0000
0.0100 31 0 0.0000
0.0100 32 0 0.0000
0.0100 33 0 0.0000
0.0100 34 0 0.0000
0.0100 35 0 0.0000
0.0100 36 0 0.0000
0.0100 37 0 0.0000
0.0100 38 0 0.0000
0.0100 39 0 0.0000
0.0100 40 0 0.0000
0.0100 41 0 0.0000
0.0100 42 0 0.0000
0.0100 43 0 0.0000
0.0100 44 0 0.0000
0.0100 45 0 0.0000
0.0100 46 0 0.0000
0.0100 47 0 0.0000
0.0100 48 0 0.0000
0.0100 49 0 0.0000
0.0100 50 0 0.0000
0.0100 51 0 0.0000
0.0100 52 0 0.0000
0.0100 53 0 0.0000
0.0100 54 0 0.0000
0.0100 55 0 0.0000
0.0100 56 0 0.0000
0.0100 57 0 0.0000
0.0100 58 0 0.0000
0.0100 59 0 0.0000
0.0100 60 0 0.0000
0.0100 61 0 0.0000
0.0100 62 0 0.0000
0.0100 63 0 0.0000
0.0100 64 0 0.0000
0.0100 65 0 0.0000
0.0100 66 0 0.0000
0.0100 67 0 0.0000
0.0100 68 0 0.0000
0.0100 69 0 0.0000
0.0100 70 0 0.0000
0.0100 71 0 0.0000
0.0100 72 0 0.0000
0.0100 73 0 0.0000
0.0200 74 0 0.0000
0.0200 75 0 0.0000
0.0200 76 0 0.0000
0.0200 77 0 0.0000
0.0200 78 0 0.0000
0.0200 79 0 0.0000
0.0200 80 0 0.0000
0.0200 81 0 0.0000
0.0200 82 0 0.0000
0.0200 83 0 0.0000
0.0200 84 0 0.0000
0.0200 85 0 0.0000
0.0200 85 1 0.0118
0.0200 86 1 0.0116
0.0200 87 1 0.0115
0.0200 88 1 0.0114
0.0200 89 1 0.0112
0.0200 89 2 0.0225
0.0200 90 2 0.0222
0.0200 91 2 0.0220
0.0200 92 2 0.0217
0.0200 93 2 0.0215
0.0200 94 2 0.0213
0.0200 95 2 0.0211
0.0200 96 2 0.0208
0.0200 97 2 0.0206
0.0200 98 2 0.0204
0.0200 99 2 0.0202
0.0200 100 2 0.0200
0.0200 101 2 0.0198
0.0200 102 2 0.0196
0.0200 102 3 0.0294
0.0200 103 3 0.0291
0.0200 104 3 0.0288
0.0200 105 3 0.0286
0.0200 106 3 0.0283
0.0200 107 3 0.0280
0.0200 108 3 0.0278
0.0200 109 3 0.0275
0.0200 110 3 0.0273
0.0200 111 3 0.0270
0.0200 112 3 0.0268
0.0200 113 3 0.0265
0.0200 114 3 0.0263
0.0200 115 3 0.0261
0.0200 116 3 0.0259
0.0200 117 3 0.0256
0.0200 118 3 0.0254
0.0200 119 3 0.0252
0.0200 120 3 0.0250
0.0200 121 3 0.0248
0.0200 122 3 0.0246
0.0200 123 3 0.0244
0.0200 124 3 0.0242
0.0200 125 3 0.0240
0.0200 126 3 0.0238
0.0200 127 3 0.0236
0.0200 127 4 0.0315
0.0200 128 4 0.0313
0.0200 129 4 0.0310
0.0200 130 4 0.0308
0.0200 131 4 0.0305
0.0200 132 4 0.0303
0.0200 132 5 0.0379
0.0200 133 5 0.0376
0.0200 134 5 0.0373
0.0200 135 5 0.0370
0.0200 136 5 0.0368
0.0200 137 5 0.0365
0.0200 137 6 0.0438
0.0200 138 6 0.0435
0.0200 139 6 0.0432
0.0200 140 6 0.0429
0.0200 140 7 0.0500
0.0200 141 7 0.0496
0.0200 141 8 0.0567
0.0200 142 8 0.0563
0.0200 143 8 0.0559
0.0200 143 9 0.0629
0.0200 144 9 0.0625
0.0200 145 9 0.0621
0.0200 146 9 0.0616
0.0200 147 9 0.0612
0.0200 147 10 0.0680
0.0200 148 10 0.0676
0.0200 149 10 0.0671
0.0200 149 11 0.0738
0.0200 150 11 0.0733
0.0200 151 11 0.0728
0.0200 152 11 0.0724
0.0200 153 11 0.0719
0.0200 153 12 0.0784
0.0200 154 12 0.0779
0.0200 155 12 0.0774
0.0200 156 12 0.0769
0.0200 156 13 0.0833
0.0200 157 13 0.0828
0.0200 158 13 0.0823
0.0200 158 14 0.0886
0.0200 159 14 0.0881
0.0200 160 14 0.0875
0.0200 161 14 0.0870
0.0200 162 14 0.0864
0.0200 163 14 0.0859
0.0200 163 15 0.0920
0.0200 164 15 0.0915
0.0300 165 15 0.0909
0.0300 165 16 0.0970
0.0300 166 16 0.0964
0.0300 167 16 0.0958
0.0300 168 16 0.0952
0.0300 169 16 0.0947
0.0300 170 16 0.0941
0.0300 171 16 0.0936
0.0300 172 16 0.0930
0.0300 172 17 0.0988
0.0300 173 17 0.0983
0.0300 174 17 0.0977
0.0300 175 17 0.0971
0.0300 176 17 0.0966
0.0300 177 17 0.0960
0.0300 178 17 0.0955
0.0300 179 17 0.0950
0.0300 179 18 0.1006
0.0300 180 18 0.1000
0.0300 181 18 0.0994
0.0300 182 18 0.0989
0.0300 183 18 0.0984
0.0300 183 19 0.1038
0.0300 184 19 0.1033
0.0300 185 19 0.1027
0.0300 186 19 0.1022
0.0300 187 19 0.1016
0.0300 188 19 0.1011
0.0300 189 19 0.1005
0.0300 190 19 0.1000
0.0300 191 19 0.0995
0.0300 192 19 0.0990
0.0300 193 19 0.0984
0.0300 194 19 0.0979
0.0300 195 19 0.0974
0.0300 196 19 0.0969
0.0300 197 19 0.0964
0.0300 197 20 0.1015
0.0300 198 20 0.1010
0.0300 199 20 0.1005
0.0300 200 20 0.1000
0.0300 201 20 0.0995
0.0300 201 21 0.1045
0.0300 202 21 0.1040
0.0300 203 21 0.1034
0.0300 204 21 0.1029
0.0300 205 21 0.1024
0.0300 206 21 0.1019
0.0300 206 22 0.1068
0.0300 207 22 0.1063
0.0300 208 22 0.1058
0.0300 209 22 0.1053
0.0300 210 22 0.1048
0.0300 210 23 0.1095
0.0300 211 23 0.1090
0.0300 212 23 0.1085
0.0300 213 23 0.1080
0.0300 214 23 0.1075
0.0300 215 23 0.1070
0.0300 216 23 0.1065
0.0300 217 23 0.1060
0.0300 218 23 0.1055
0.0300 218 24 0.1101
0.0300 219 24 0.1096
0.0300 220 24 0.1091
0.0300 221 24 0.1086
0.0300 221 25 0.1131
0.0300 222 25 0.1126
0.0300 223 25 0.1121
0.0300 224 25 0.1116
0.0300 224 26 0.1161
0.0300 225 26 0.1156
0.0300 225 27 0.1200
0.0300 226 27 0.1195
0.0300 227 27 0.1189
0.0300 227 28 0.1233
0.0300 228 28 0.1228
0.0300 229 28 0.1223
0.0300 230 28 0.1217
0.0300 231 28 0.1212
0.0300 231 29 0.1255
0.0300 232 29 0.1250
0.0300 233 29 0.1245
0.0300 234 29 0.1239
0.0300 234 30 0.1282
0.0300 235 30 0.1277
0.0300 236 30 0.1271
0.0400 237 30 0.1266
0.0400 238 30 0.1261
0.0400 239 30 0.1255
0.0400 240 30 0.1250
0.0400 240 31 0.1292
0.0400 241 31 0.1286
0.0400 242 31 0.1281
0.0400 243 31 0.1276
0.0400 244 31 0.1270
0.0400 244 32 0.1311
0.0400 245 32 0.1306
0.0400 246 32 0.1301
0.0400 246 33 0.1341
0.0400 247 33 0.1336
0.0400 248 33 0.1331
0.0400 249 33 0.1325
0.0400 250 33 0.1320
0.0400 250 34 0.1360
0.0400 251 34 0.1355
0.0400 252 34 0.1349
0.0400 253 34 0.1344
0.0400 254 34 0.1339
0.0400 254 35 0.1378
0.0400 254 36 0.1417
0.0400 255 36 0.1412
0.0400 256 36 0.1406
0.0400 257 36 0.1401
0.0400 258 36 0.1395
0.0400 259 36 0.1390
0.0400 260 36 0.1385
0.0400 261 36 0.1379
0.0400 262 36 0.1374
0.0400 263 36 0.1369
0.0400 264 36 0.1364
0.0400 265 36 0.1358
0.0400 266 36 0.1353
0.0400 267 36 0.1348
0.0400 268 36 0.1343
0.0400 268 37 0.1381
0.0400 269 37 0.1375
0.0400 270 37 0.1370
0.0400 271 37 0.1365
0.0400 272 37 0.1360
0.0400 273 37 0.1355
0.0400 274 37 0.1350
0.0400 275 37 0.1345
0.0400 275 38 0.1382
0.0400 276 38 0.1377
0.0400 277 38 0.1372
0.0400 278 38 0.1367
0.0400 279 38 0.1362
0.0400 280 38 0.1357
0.0400 281 38 0.1352
0.0400 282 38 0.1348
0.0400 283 38 0.1343
0.0400 283 39 0.1378
0.0400 284 39 0.1373
0.0400 285 39 0.1368
0.0400 286 39 0.1364
0.0400 286 40 0.1399
0.0400 287 40 0.1394
0.0400 287 41 0.1429
0.0400 288 41 0.1424
0.0400 289 41 0.1419
0.0400 290 41 0.1414
0.0400 291 41 0.1409
0.0400 292 41 0.1404
0.0400 293 41 0.1399
0.0400 294 41 0.1395
0.0400 295 41 0.1390
0.0400 295 42 0.1424
0.0400 295 43 0.1458
0.0400 296 43 0.1453
0.0400 297 43 0.1448
0.0400 297 44 0.1481
0.0500 298 44 0.1477
0.0500 299 44 0.1472
0.0500 300 44 0.1467
0.0500 301 44 0.1462
0.0500 302 44 0.1457
0.0500 303 44 0.1452
0.0500 304 44 0.1447
0.0500 305 44 0.1443
0.0500 306 44 0.1438
0.0500 306 45 0.1471
0.0500 307 45 0.1466
0.0500 307 46 0.1498
0.0500 308 46 0.1494
0.0500 309 46 0.1489
0.0500 310 46 0.1484
0.0500 311 46 0.1479
0.0500 312 46 0.1474
0.0500 313 46 0.1470
0.0500 314 46 0.1465
0.0500 315 46 0.1460
0.0500 316 46 0.1456
0.0500 317 46 0.1451
0.0500 317 47 0.1483
0.0500 318 47 0.1478
0.0500 319 47 0.1473
0.0500 320 47 0.1469
0.0500 321 47 0.1464
0.0500 321 48 0.1495
0.0500 322 48 0.1491
0.0500 322 49 0.1522
0.0500 323 49 0.1517
0.0500 324 49 0.1512
0.0500 325 49 0.1508
0.0500 326 49 0.1503
0.0500 327 49 0.1498
0.0500 328 49 0.1494
0.0500 329 49 0.1489
0.0500 330 49 0.1485
0.0500 330 50 0.1515
0.0500 331 50 0.1511
0.0500 332 50 0.1506
0.0500 333 50 0.1502
0.0500 333 51 0.1532
0.0500 334 51 0.1527
0.0500 335 51 0.1522
0.0500 336 51 0.1518
0.0500 336 52 0.1548
0.0500 337 52 0.1543
0.0500 338 52 0.1538
0.0500 339 52 0.1534
0.0500 339 53 0.1563
0.0500 340 53 0.1559
0.0500 340 54 0.1588
