# time  ID  size  fromHost  toHost  TTL  isResponse
0.0100 VerifyPubKeyp4 1312 p4 p3 300 N 
0.0100 VerifyPubKeyp6 1312 p6 p5 300 N 
0.0100 KemPubKeyp3 2083 p3 p4 300 N 
0.0100 KemPubKeyp5 2107 p5 p6 300 N 
0.0200 KemPubKeyp3 2083 p3 p4 300 N 
0.0200 VerifyPubKeyp6 1312 p6 p5 300 N 
0.0200 KemPubKeyp5 2107 p5 p6 300 N 
0.0200 VerifyPubKeyp4 1312 p4 p3 300 N 
0.0300 KemPubKeyp5 2107 p5 p6 300 N 
0.0300 CiphertextFromp6 2000 p6 p5 300 N 
0.0300 KemPubKeyp3 2083 p3 p4 300 N 
0.0300 CiphertextFromp4 2000 p4 p3 300 N 
109.0700 KemPubKeyp2 2084 p2 p3 300 N 
109.0700 VerifyPubKeyp3 1312 p3 p2 300 N 
109.0800 VerifyPubKeyp3 1312 p3 p2 300 N 
109.0800 KemPubKeyp2 2084 p2 p3 300 N 
109.0800 CiphertextFromp3 2000 p3 p2 300 N 
109.0900 VerifyPubKeyp3 1312 p3 p2 300 N 
117.4700 VerifyPubKeyp4 1312 p4 p2 300 N 
117.4700 KemPubKeyp2 2084 p2 p4 300 N 
117.4800 KemPubKeyp2 2084 p2 p4 300 N 
117.4800 VerifyPubKeyp4 1312 p4 p2 300 N 
117.4900 KemPubKeyp2 2084 p2 p4 300 N 
117.4900 CiphertextFromp4 2000 p4 p2 300 N 
357.8100 VerifyPubKeyp7 1312 p7 p2 300 N 
357.8100 KemPubKeyp2 2084 p2 p7 300 N 
357.8200 VerifyPubKeyp7 1312 p7 p2 300 N 
357.8200 KemPubKeyp2 2084 p2 p7 300 N 
357.8300 KemPubKeyp2 2084 p2 p7 300 N 
357.8300 CiphertextFromp7 2000 p7 p2 300 N 
396.7700 VerifyPubKeyp6 1312 p6 p3 300 N 
396.7700 KemPubKeyp3 2083 p3 p6 300 N 
396.7800 VerifyPubKeyp6 1312 p6 p3 300 N 
396.7800 KemPubKeyp3 2083 p3 p6 300 N 
396.7900 KemPubKeyp3 2083 p3 p6 300 N 
396.7900 CiphertextFromp6 2000 p6 p3 300 N 
431.0300 KemPubKeyp3 2083 p3 p5 300 N 
431.0300 VerifyPubKeyp5 1312 p5 p3 300 N 
431.0400 KemPubKeyp3 2083 p3 p5 300 N 
431.0400 CiphertextFromp5 2000 p5 p3 300 N 
431.0400 VerifyPubKeyp5 1312 p5 p3 300 N 
431.0500 VerifyPubKeyp5 1312 p5 p3 300 N 
431.0600 VerifyPubKeyp5 1312 p5 p3 300 N 
745.7300 VerifyPubKeyp9 1312 p9 p4 300 N 
745.7300 KemPubKeyp4 2089 p4 p9 300 N 
745.7400 VerifyPubKeyp9 1312 p9 p4 300 N 
745.7400 KemPubKeyp4 2089 p4 p9 300 N 
745.7500 KemPubKeyp4 2089 p4 p9 300 N 
745.7500 CiphertextFromp9 2000 p9 p4 300 N 
1080.5700 VerifyPubKeyp6 1312 p6 p1 300 N 
1080.5700 KemPubKeyp1 2102 p1 p6 300 N 
