# time  created  delivered  delivered/created
0.0100 1 0 0.0000
0.0100 2 0 0.0000
0.0100 3 0 0.0000
0.0100 4 0 0.0000
0.0100 5 0 0.0000
0.0100 6 0 0.0000
0.0100 7 0 0.0000
0.0100 8 0 0.0000
0.0100 9 0 0.0000
0.0100 10 0 0.0000
0.0100 11 0 0.0000
0.0100 12 0 0.0000
0.0100 13 0 0.0000
0.0100 14 0 0.0000
0.0100 15 0 0.0000
0.0100 16 0 0.0000
0.0100 17 0 0.0000
0.0100 18 0 0.0000
0.0100 19 0 0.0000
0.0100 20 0 0.0000
0.0100 21 0 0.0000
0.0100 22 0 0.0000
0.0100 23 0 0.0000
0.0100 24 0 0.0000
0.0100 25 0 0.0000
0.0100 26 0 0.0000
0.0100 27 0 0.0000
0.0100 28 0 0.0000
0.0100 29 0 0.0000
0.0100 30 0 0.0000
0.0100 31 0 0.0000
0.0100 32 0 0.0000
0.0100 33 0 0.0000
0.0100 34 0 0.0000
0.0100 35 0 0.0000
0.0100 36 0 0.0000
0.0100 37 0 0.0000
0.0100 38 0 0.0000
0.0100 39 0 0.0000
0.0100 40 0 0.0000
0.0100 41 0 0.0000
0.0100 42 0 0.0000
0.0100 43 0 0.0000
0.0100 44 0 0.0000
0.0100 45 0 0.0000
0.0100 46 0 0.0000
0.0100 47 0 0.0000
0.0100 48 0 0.0000
0.0100 49 0 0.0000
0.0100 50 0 0.0000
0.0100 51 0 0.0000
0.0100 52 0 0.0000
0.0100 53 0 0.0000
0.0100 54 0 0.0000
0.0100 55 0 0.0000
0.0100 56 0 0.0000
0.0100 57 0 0.0000
0.0100 58 0 0.0000
0.0100 59 0 0.0000
0.0100 60 0 0.0000
0.0100 61 0 0.0000
0.0100 62 0 0.0000
0.0100 63 0 0.0000
0.0100 64 0 0.0000
0.0200 65 0 0.0000
0.0200 66 0 0.0000
0.0200 67 0 0.0000
0.0200 68 0 0.0000
0.0200 69 0 0.0000
0.0200 70 0 0.0000
0.0200 70 1 0.0143
0.0200 71 1 0.0141
0.0200 72 1 0.0139
0.0200 73 1 0.0137
0.0200 74 1 0.0135
0.0200 75 1 0.0133
0.0200 76 1 0.0132
0.0200 77 1 0.0130
0.0200 78 1 0.0128
0.0200 79 1 0.0127
0.0200 80 1 0.0125
0.0200 81 1 0.0123
0.0200 82 1 0.0122
0.0200 83 1 0.0120
0.0200 84 1 0.0119
0.0200 84 2 0.0238
0.0200 85 2 0.0235
0.0200 86 2 0.0233
0.0200 87 2 0.0230
0.0200 88 2 0.0227
0.0200 89 2 0.0225
0.0200 90 2 0.0222
0.0200 91 2 0.0220
0.0200 91 3 0.0330
0.0200 92 3 0.0326
0.0200 93 3 0.0323
0.0200 94 3 0.0319
0.0200 95 3 0.0316
0.0200 96 3 0.0313
0.0200 97 3 0.0309
0.0200 97 4 0.0412
0.0200 98 4 0.0408
0.0200 99 4 0.0404
0.0200 100 4 0.0400
0.0200 101 4 0.0396
0.0200 102 4 0.0392
0.0200 103 4 0.0388
0.0200 104 4 0.0385
0.0200 104 5 0.0481
0.0200 105 5 0.0476
0.0200 106 5 0.0472
0.0200 106 6 0.0566
0.0200 107 6 0.0561
0.0200 108 6 0.0556
0.0200 109 6 0.0550
0.0200 110 6 0.0545
0.0200 111 6 0.0541
0.0200 112 6 0.0536
0.0200 113 6 0.0531
0.0200 114 6 0.0526
0.0200 115 6 0.0522
0.0200 116 6 0.0517
0.0200 117 6 0.0513
0.0200 118 6 0.0508
0.0200 119 6 0.0504
0.0200 120 6 0.0500
0.0200 120 7 0.0583
0.0200 121 7 0.0579
0.0200 122 7 0.0574
0.0200 123 7 0.0569
0.0200 124 7 0.0565
0.0200 125 7 0.0560
0.0200 126 7 0.0556
0.0200 126 8 0.0635
0.0200 127 8 0.0630
0.0200 128 8 0.0625
0.0200 129 8 0.0620
0.0200 130 8 0.0615
0.0200 130 9 0.0692
0.0200 131 9 0.0687
0.0200 132 9 0.0682
0.0200 133 9 0.0677
0.0200 134 9 0.0672
0.0200 135 9 0.0667
0.0200 136 9 0.0662
0.0200 137 9 0.0657
0.0200 137 10 0.0730
0.0200 138 10 0.0725
0.0200 139 10 0.0719
0.0200 140 10 0.0714
0.0200 140 11 0.0786
0.0200 141 11 0.0780
0.0200 142 11 0.0775
0.0200 143 11 0.0769
0.0200 144 11 0.0764
0.0200 145 11 0.0759
0.0200 146 11 0.0753
0.0200 146 12 0.0822
0.0200 147 12 0.0816
0.0200 148 12 0.0811
0.0200 149 12 0.0805
0.0200 150 12 0.0800
0.0200 151 12 0.0795
0.0200 152 12 0.0789
0.0200 153 12 0.0784
0.0200 154 12 0.0779
0.0200 155 12 0.0774
0.0200 156 12 0.0769
0.0200 156 13 0.0833
0.0200 157 13 0.0828
0.0200 158 13 0.0823
0.0200 159 13 0.0818
0.0200 159 14 0.0881
0.0200 160 14 0.0875
0.0200 161 14 0.0870
0.0200 161 15 0.0932
0.0300 162 15 0.0926
0.0300 163 15 0.0920
0.0300 163 16 0.0982
0.0300 164 16 0.0976
0.0300 165 16 0.0970
0.0300 166 16 0.0964
0.0300 167 16 0.0958
0.0300 168 16 0.0952
0.0300 169 16 0.0947
0.0300 170 16 0.0941
0.0300 171 16 0.0936
0.0300 172 16 0.0930
0.0300 172 17 0.0988
0.0300 173 17 0.0983
0.0300 174 17 0.0977
0.0300 175 17 0.0971
0.0300 176 17 0.0966
0.0300 177 17 0.0960
0.0300 178 17 0.0955
0.0300 178 18 0.1011
0.0300 179 18 0.1006
0.0300 180 18 0.1000
0.0300 181 18 0.0994
0.0300 182 18 0.0989
0.0300 183 18 0.0984
0.0300 184 18 0.0978
0.0300 185 18 0.0973
0.0300 185 19 0.1027
0.0300 186 19 0.1022
0.0300 187 19 0.1016
0.0300 188 19 0.1011
0.0300 189 19 0.1005
0.0300 190 19 0.1000
0.0300 191 19 0.0995
0.0300 192 19 0.0990
0.0300 193 19 0.0984
0.0300 194 19 0.0979
0.0300 195 19 0.0974
0.0300 196 19 0.0969
0.0300 197 19 0.0964
0.0300 198 19 0.0960
0.0300 199 19 0.0955
0.0300 200 19 0.0950
0.0300 201 19 0.0945
0.0300 202 19 0.0941
0.0300 203 19 0.0936
0.0300 204 19 0.0931
0.0300 205 19 0.0927
0.0300 206 19 0.0922
0.0300 207 19 0.0918
0.0300 208 19 0.0913
0.0300 209 19 0.0909
0.0300 210 19 0.0905
0.0300 211 19 0.0900
0.0300 212 19 0.0896
0.0300 212 20 0.0943
0.0300 213 20 0.0939
0.0300 214 20 0.0935
0.0300 215 20 0.0930
0.0300 216 20 0.0926
0.0300 216 21 0.0972
0.0300 217 21 0.0968
0.0300 217 22 0.1014
0.0300 218 22 0.1009
0.0300 219 22 0.1005
0.0300 220 22 0.1000
0.0300 221 22 0.0995
0.0300 222 22 0.0991
0.0300 222 23 0.1036
0.0300 223 23 0.1031
0.0300 224 23 0.1027
0.0300 225 23 0.1022
0.0300 226 23 0.1018
0.0300 227 23 0.1013
0.0300 228 23 0.1009
0.0300 229 23 0.1004
0.0300 230 23 0.1000
0.0300 230 24 0.1043
0.0300 231 24 0.1039
0.0300 232 24 0.1034
0.0300 232 25 0.1078
0.0300 233 25 0.1073
0.0300 234 25 0.1068
0.0300 235 25 0.1064
0.0300 235 26 0.1106
0.0400 236 26 0.1102
0.0400 237 26 0.1097
0.0400 238 26 0.1092
0.0400 239 26 0.1088
0.0400 240 26 0.1083
0.0400 241 26 0.1079
0.0400 241 27 0.1120
0.0400 242 27 0.1116
0.0400 243 27 0.1111
0.0400 244 27 0.1107
0.0400 245 27 0.1102
0.0400 245 28 0.1143
0.0400 246 28 0.1138
0.0400 247 28 0.1134
0.0400 248 28 0.1129
0.0400 249 28 0.1124
0.0400 250 28 0.1120
0.0400 251 28 0.1116
0.0400 251 29 0.1155
0.0400 252 29 0.1151
0.0400 253 29 0.1146
0.0400 254 29 0.1142
0.0400 255 29 0.1137
0.0400 256 29 0.1133
0.0400 257 29 0.1128
0.0400 258 29 0.1124
0.0400 259 29 0.1120
0.0400 259 30 0.1158
0.0400 260 30 0.1154
0.0400 261 30 0.1149
0.0400 262 30 0.1145
0.0400 263 30 0.1141
0.0400 264 30 0.1136
0.0400 265 30 0.1132
0.0400 266 30 0.1128
0.0400 267 30 0.1124
0.0400 268 30 0.1119
0.0400 269 30 0.1115
0.0400 270 30 0.1111
0.0400 271 30 0.1107
0.0400 272 30 0.1103
0.0400 273 30 0.1099
0.0400 274 30 0.1095
0.0400 275 30 0.1091
0.0400 276 30 0.1087
0.0400 277 30 0.1083
0.0400 278 30 0.1079
0.0400 279 30 0.1075
0.0400 280 30 0.1071
0.0400 280 31 0.1107
0.0400 281 31 0.1103
0.0400 282 31 0.1099
0.0400 283 31 0.1095
0.0400 283 32 0.1131
0.0400 284 32 0.1127
0.0400 285 32 0.1123
0.0400 285 33 0.1158
0.0400 286 33 0.1154
0.0400 287 33 0.1150
0.0400 288 33 0.1146
0.0400 288 34 0.1181
0.0400 289 34 0.1176
0.0400 290 34 0.1172
0.0400 291 34 0.1168
0.0400 292 34 0.1164
0.0400 293 34 0.1160
0.0400 294 34 0.1156
0.0400 295 34 0.1153
0.0400 296 34 0.1149
0.0400 297 34 0.1145
0.0400 298 34 0.1141
0.0400 299 34 0.1137
0.0400 299 35 0.1171
0.0400 300 35 0.1167
0.0400 301 35 0.1163
0.0400 302 35 0.1159
0.0400 303 35 0.1155
0.0400 304 35 0.1151
0.0400 305 35 0.1148
0.0400 305 36 0.1180
0.0400 306 36 0.1176
0.0400 306 37 0.1209
0.0400 307 37 0.1205
0.0400 308 37 0.1201
0.0400 308 38 0.1234
0.0500 309 38 0.1230
0.0500 310 38 0.1226
0.0500 311 38 0.1222
0.0500 312 38 0.1218
0.0500 313 38 0.1214
0.0500 314 38 0.1210
0.0500 315 38 0.1206
0.0500 316 38 0.1203
0.0500 316 39 0.1234
0.0500 317 39 0.1230
0.0500 318 39 0.1226
0.0500 319 39 0.1223
0.0500 320 39 0.1219
0.0500 321 39 0.1215
0.0500 322 39 0.1211
0.0500 323 39 0.1207
0.0500 324 39 0.1204
0.0500 325 39 0.1200
0.0500 326 39 0.1196
0.0500 326 40 0.1227
0.0500 327 40 0.1223
0.0500 328 40 0.1220
0.0500 329 40 0.1216
0.0500 330 40 0.1212
0.0500 331 40 0.1208
0.0500 331 41 0.1239
0.0500 332 41 0.1235
0.0500 333 41 0.1231
0.0500 334 41 0.1228
0.0500 335 41 0.1224
0.0500 336 41 0.1220
0.0500 337 41 0.1217
0.0500 338 41 0.1213
0.0500 339 41 0.1209
0.0500 340 41 0.1206
0.0500 340 42 0.1235
0.0500 341 42 0.1232
0.0500 342 42 0.1228
0.0500 343 42 0.1224
0.0500 343 43 0.1254
0.0500 344 43 0.1250
0.0500 345 43 0.1246
0.0500 345 44 0.1275
0.0500 346 44 0.1272
0.0500 346 45 0.1301
0.0500 347 45 0.1297
0.0500 348 45 0.1293
0.0500 349 45 0.1289
