# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
0.0200 VerifyPubKeyp136 1312 1 0.0100 p136 p112 299 N p136->p112
0.0200 VerifyPubKeyp81 1312 1 0.0100 p81 p62 299 N p81->p62
0.0200 VerifyPubKeyp50 1312 1 0.0100 p50 p12 299 N p50->p12
0.0200 VerifyPubKeyp52 1312 1 0.0100 p52 p24 299 N p52->p24
0.0200 VerifyPubKeyp92 1312 1 0.0100 p92 p104 299 N p92->p104
0.0200 VerifyPubKeyp133 1312 1 0.0100 p133 p132 299 N p133->p132
0.0200 KemPubKeyp105 2106 1 0.0100 p105 p28 299 N p105->p28
0.0200 KemPubKeyp23 2092 1 0.0100 p23 p67 299 N p23->p67
0.0200 VerifyPubKeyp45 1312 1 0.0100 p45 p109 299 N p45->p109
0.0200 VerifyPubKeyp97 1312 1 0.0100 p97 p110 299 N p97->p110
0.0200 VerifyPubKeyp54 1312 1 0.0100 p54 p51 299 N p54->p51
0.0200 KemPubKeyp37 2090 1 0.0100 p37 p44 299 N p37->p44
0.0200 VerifyPubKeyp127 1312 1 0.0100 p127 p123 299 N p127->p123
0.0200 VerifyPubKeyp88 1312 1 0.0100 p88 p149 299 N p88->p149
0.0200 KemPubKeyp46 2117 1 0.0100 p46 p69 299 N p46->p69
0.0200 KemPubKeyp122 2105 1 0.0100 p122 p70 299 N p122->p70
0.0200 VerifyPubKeyp139 1312 1 0.0100 p139 p1 299 N p139->p1
0.0200 VerifyPubKeyp32 1312 1 0.0100 p32 p21 299 N p32->p21
0.0200 VerifyPubKeyp34 1312 1 0.0100 p34 p129 299 N p34->p129
0.0200 VerifyPubKeyp87 1312 1 0.0100 p87 p121 299 N p87->p121
0.0200 VerifyPubKeyp107 1312 1 0.0100 p107 p100 299 N p107->p100
0.0200 KemPubKeyp15 2118 1 0.0100 p15 p83 299 N p15->p83
0.0200 VerifyPubKeyp76 1312 1 0.0100 p76 p75 299 N p76->p75
0.0200 VerifyPubKeyp91 1312 1 0.0100 p91 p147 299 N p91->p147
0.0200 KemPubKeyp140 2113 1 0.0100 p140 p68 299 N p140->p68
0.0200 VerifyPubKeyp113 1312 1 0.0100 p113 p103 299 N p113->p103
0.0200 KemPubKeyp64 2104 1 0.0100 p64 p90 299 N p64->p90
0.0200 KemPubKeyp5 2091 1 0.0100 p5 p79 299 N p5->p79
0.0200 VerifyPubKeyp27 1312 1 0.0100 p27 p126 299 N p27->p126
0.0200 VerifyPubKeyp84 1312 1 0.0100 p84 p26 299 N p84->p26
0.0200 KemPubKeyp0 2089 1 0.0100 p0 p31 299 N p0->p31
0.0200 KemPubKeyp36 2099 1 0.0100 p36 p80 299 N p36->p80
0.0200 VerifyPubKeyp142 1312 1 0.0100 p142 p135 299 N p142->p135
0.0200 KemPubKeyp6 2103 1 0.0100 p6 p93 299 N p6->p93
0.0200 VerifyPubKeyp9 1312 1 0.0100 p9 p148 299 N p9->p148
0.0200 KemPubKeyp137 2108 1 0.0100 p137 p59 299 N p137->p59
0.0200 KemPubKeyp78 2101 1 0.0100 p78 p98 299 N p78->p98
0.0200 VerifyPubKeyp43 1312 1 0.0100 p43 p102 299 N p43->p102
0.0200 VerifyPubKeyp73 1312 1 0.0100 p73 p114 299 N p73->p114
0.0200 VerifyPubKeyp85 1312 1 0.0100 p85 p74 299 N p85->p74
0.0200 KemPubKeyp138 2092 1 0.0100 p138 p146 299 N p138->p146
0.0200 VerifyPubKeyp40 1312 1 0.0100 p40 p20 299 N p40->p20
0.0200 VerifyPubKeyp3 1312 1 0.0100 p3 p106 299 N p3->p106
0.0200 KemPubKeyp115 2104 1 0.0100 p115 p119 299 N p115->p119
0.0200 VerifyPubKeyp61 1312 1 0.0100 p61 p41 299 N p61->p41
0.0200 VerifyPubKeyp141 1312 1 0.0100 p141 p118 299 N p141->p118
0.0200 KemPubKeyp25 2066 1 0.0100 p25 p4 299 N p25->p4
0.0200 VerifyPubKeyp86 1312 1 0.0100 p86 p71 299 N p86->p71
0.0200 VerifyPubKeyp124 1312 1 0.0100 p124 p111 299 N p124->p111
0.0200 KemPubKeyp47 2101 1 0.0100 p47 p58 299 N p47->p58
0.0200 KemPubKeyp13 2076 1 0.0100 p13 p99 299 N p13->p99
0.0200 KemPubKeyp63 2084 1 0.0100 p63 p72 299 N p63->p72
0.0200 KemPubKeyp22 2079 1 0.0100 p22 p95 299 N p22->p95
0.0200 KemPubKeyp42 2094 1 0.0100 p42 p49 299 N p42->p49
0.0200 KemPubKeyp14 2099 1 0.0100 p14 p56 299 N p14->p56
0.0200 VerifyPubKeyp53 1312 1 0.0100 p53 p17 299 N p53->p17
0.0200 VerifyPubKeyp117 1312 1 0.0100 p117 p11 299 N p117->p11
0.0200 VerifyPubKeyp16 1312 1 0.0100 p16 p134 299 N p16->p134
0.0200 VerifyPubKeyp82 1312 1 0.0100 p82 p130 299 N p82->p130
0.0200 VerifyPubKeyp38 1312 1 0.0100 p38 p108 299 N p38->p108
0.0200 KemPubKeyp116 2099 1 0.0100 p116 p128 299 N p116->p128
0.0300 VerifyPubKeyp31 1312 1 0.0100 p31 p0 299 N p31->p0
0.0300 VerifyPubKeyp24 1312 1 0.0100 p24 p100 299 N p24->p100
0.0300 KemPubKeyp62 2090 1 0.0200 p62 p81 299 N p62->p81
0.0300 VerifyPubKeyp135 1312 1 0.0100 p135 p131 299 N p135->p131
0.0300 VerifyPubKeyp138 1312 1 0.0100 p138 p136 299 N p138->p136
0.0300 KemPubKeyp48 2092 1 0.0200 p48 p87 299 N p48->p87
0.0300 VerifyPubKeyp75 1312 1 0.0100 p75 p21 299 N p75->p21
0.0300 KemPubKeyp145 2117 1 0.0100 p145 p92 299 N p145->p92
0.0300 CiphertextFromp67 2000 1 0.0100 p67 p23 299 N p67->p23
0.0300 CiphertextFromp128 2000 1 0.0100 p128 p116 299 N p128->p116
0.0300 KemPubKeyp52 2093 1 0.0100 p52 p66 299 N p52->p66
0.0300 VerifyPubKeyp121 1312 1 0.0200 p121 p112 299 N p121->p112
0.0300 CiphertextFromp49 2000 1 0.0100 p49 p42 299 N p49->p42
0.0300 KemPubKeyp76 2105 1 0.0100 p76 p94 299 N p76->p94
0.0300 CiphertextFromp44 2000 1 0.0100 p44 p37 299 N p44->p37
0.0300 KemPubKeyp132 2110 1 0.0100 p132 p133 299 N p132->p133
0.0300 VerifyPubKeyp19 1312 1 0.0100 p19 p147 299 N p19->p147
0.0300 VerifyPubKeyp14 1312 1 0.0100 p14 p124 299 N p14->p124
0.0300 VerifyPubKeyp36 1312 1 0.0100 p36 p2 299 N p36->p2
0.0300 CiphertextFromp79 2000 1 0.0100 p79 p5 299 N p79->p5
0.0300 KemPubKeyp29 2097 1 0.0100 p29 p74 299 N p29->p74
0.0300 CiphertextFromp83 2000 1 0.0100 p83 p15 299 N p83->p15
0.0300 VerifyPubKeyp58 1312 1 0.0100 p58 p148 299 N p58->p148
0.0300 CiphertextFromp99 2000 1 0.0100 p99 p13 299 N p99->p13
0.0300 CiphertextFromp70 2000 1 0.0100 p70 p122 299 N p70->p122
0.0300 VerifyPubKeyp57 1312 1 0.0100 p57 p56 299 N p57->p56
0.0300 CiphertextFromp69 2000 1 0.0100 p69 p46 299 N p69->p46
0.0300 CiphertextFromp4 2000 1 0.0100 p4 p25 299 N p4->p25
0.0300 VerifyPubKeyp137 1312 1 0.0100 p137 p109 299 N p137->p109
0.0300 KemPubKeyp126 2088 1 0.0100 p126 p8 299 N p126->p8
0.0300 VerifyPubKeyp55 1312 1 0.0100 p55 p10 299 N p55->p10
0.0300 KemPubKeyp43 2085 1 0.0100 p43 p96 299 N p43->p96
0.0300 CiphertextFromp68 2000 1 0.0100 p68 p140 299 N p68->p140
0.0300 CiphertextFromp28 2000 1 0.0100 p28 p105 299 N p28->p105
0.0300 CiphertextFromp95 2000 1 0.0100 p95 p22 299 N p95->p22
0.0300 KemPubKeyp110 2103 1 0.0100 p110 p7 299 N p110->p7
0.0300 KemPubKeyp17 2082 1 0.0100 p17 p53 299 N p17->p53
0.0300 KemPubKeyp127 2098 1 0.0100 p127 p35 299 N p127->p35
0.0300 CiphertextFromp93 2000 1 0.0100 p93 p6 299 N p93->p6
0.0300 KemPubKeyp39 2113 1 0.0200 p39 p47 299 N p39->p47
0.0300 KemPubKeyp73 2097 1 0.0100 p73 p77 299 N p73->p77
0.0300 KemPubKeyp86 2107 1 0.0100 p86 p90 299 N p86->p90
0.0300 KemPubKeyp12 2078 1 0.0200 p12 p50 299 N p12->p50
0.0300 KemPubKeyp113 2100 1 0.0100 p113 p123 299 N p113->p123
0.0300 KemPubKeyp40 2110 1 0.0100 p40 p60 299 N p40->p60
0.0300 VerifyPubKeyp129 1312 1 0.0100 p129 p107 299 N p129->p107
