# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
0.0200 KemPubKeyp3 2104 1 0.0100 p3 p54 299 N p3->p54
0.0200 KemPubKeyp48 2098 1 0.0100 p48 p63 299 N p48->p63
0.0200 KemPubKeyp5 2116 1 0.0100 p5 p74 299 N p5->p74
0.0200 VerifyPubKeyp66 1312 1 0.0100 p66 p53 299 N p66->p53
0.0200 KemPubKeyp18 2105 1 0.0100 p18 p78 299 N p18->p78
0.0200 KemPubKeyp29 2093 1 0.0100 p29 p43 299 N p29->p43
0.0200 KemPubKeyp34 2081 1 0.0100 p34 p65 299 N p34->p65
0.0200 KemPubKeyp16 2087 1 0.0100 p16 p39 299 N p16->p39
0.0200 VerifyPubKeyp47 1312 1 0.0100 p47 p45 299 N p47->p45
0.0200 VerifyPubKeyp19 1312 1 0.0100 p19 p1 299 N p19->p1
0.0200 VerifyPubKeyp7 1312 1 0.0100 p7 p67 299 N p7->p67
0.0200 KemPubKeyp6 2093 1 0.0100 p6 p79 299 N p6->p79
0.0200 VerifyPubKeyp62 1312 1 0.0100 p62 p59 299 N p62->p59
0.0200 KemPubKeyp21 2111 1 0.0100 p21 p50 299 N p21->p50
0.0200 KemPubKeyp0 2084 1 0.0100 p0 p31 299 N p0->p31
0.0200 VerifyPubKeyp70 1312 1 0.0100 p70 p44 299 N p70->p44
0.0200 VerifyPubKeyp27 1312 1 0.0100 p27 p15 299 N p27->p15
0.0200 KemPubKeyp49 2109 1 0.0100 p49 p64 299 N p49->p64
0.0200 VerifyPubKeyp30 1312 1 0.0100 p30 p20 299 N p30->p20
0.0200 KemPubKeyp38 2089 1 0.0100 p38 p71 299 N p38->p71
0.0200 VerifyPubKeyp32 1312 1 0.0100 p32 p13 299 N p32->p13
0.0200 VerifyPubKeyp77 1312 1 0.0100 p77 p4 299 N p77->p4
0.0200 VerifyPubKeyp51 1312 1 0.0100 p51 p25 299 N p51->p25
