# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
0.0200 KemPubKeyp41 2097 1 0.0100 p41 p62 299 N p41->p62
0.0200 VerifyPubKeyp42 1312 1 0.0100 p42 p35 299 N p42->p35
0.0200 KemPubKeyp36 2095 1 0.0100 p36 p85 299 N p36->p85
0.0200 KemPubKeyp13 2079 1 0.0100 p13 p78 299 N p13->p78
0.0200 KemPubKeyp25 2110 1 0.0100 p25 p67 299 N p25->p67
0.0200 VerifyPubKeyp50 1312 1 0.0100 p50 p15 299 N p50->p15
0.0200 KemPubKeyp32 2087 1 0.0100 p32 p63 299 N p32->p63
0.0200 KemPubKeyp59 2097 1 0.0100 p59 p70 299 N p59->p70
0.0200 KemPubKeyp29 2076 1 0.0100 p29 p77 299 N p29->p77
0.0200 VerifyPubKeyp39 1312 1 0.0100 p39 p37 299 N p39->p37
0.0200 KemPubKeyp28 2087 1 0.0100 p28 p68 299 N p28->p68
0.0200 VerifyPubKeyp89 1312 1 0.0100 p89 p16 299 N p89->p16
0.0200 KemPubKeyp81 2098 1 0.0100 p81 p88 299 N p81->p88
0.0200 VerifyPubKeyp84 1312 1 0.0100 p84 p71 299 N p84->p71
0.0200 KemPubKeyp8 2095 1 0.0100 p8 p9 299 N p8->p9
0.0200 VerifyPubKeyp75 1312 1 0.0100 p75 p72 299 N p75->p72
0.0200 VerifyPubKeyp57 1312 1 0.0100 p57 p21 299 N p57->p21
0.0200 KemPubKeyp20 2099 1 0.0100 p20 p60 299 N p20->p60
0.0200 KemPubKeyp46 2078 1 0.0100 p46 p55 299 N p46->p55
0.0200 KemPubKeyp48 2074 1 0.0100 p48 p79 299 N p48->p79
0.0200 VerifyPubKeyp65 1312 1 0.0100 p65 p47 299 N p65->p47
0.0200 KemPubKeyp3 2094 1 0.0100 p3 p38 299 N p3->p38
0.0200 KemPubKeyp18 2085 1 0.0100 p18 p34 299 N p18->p34
0.0200 KemPubKeyp11 2114 1 0.0100 p11 p43 299 N p11->p43
0.0200 KemPubKeyp17 2092 1 0.0100 p17 p56 299 N p17->p56
0.0200 KemPubKeyp1 2090 1 0.0100 p1 p66 299 N p1->p66
0.0200 VerifyPubKeyp64 1312 1 0.0100 p64 p54 299 N p64->p54
0.0200 KemPubKeyp19 2113 1 0.0100 p19 p87 299 N p19->p87
0.0200 VerifyPubKeyp40 1312 1 0.0100 p40 p27 299 N p40->p27
0.0200 KemPubKeyp58 2094 1 0.0100 p58 p76 299 N p58->p76
0.0200 VerifyPubKeyp86 1312 1 0.0100 p86 p26 299 N p86->p26
0.0300 KemPubKeyp71 2069 1 0.0100 p71 p84 299 N p71->p84
0.0300 CiphertextFromp9 2083 1 0.0100 p9 p8 299 N p9->p8
0.0300 VerifyPubKeyp22 1312 1 0.0100 p22 p11 299 N p22->p11
0.0300 CiphertextFromp66 2079 1 0.0100 p66 p1 299 N p66->p1
