# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
0.0200 VerifyPubKeyp6 1312 1 0.0100 p6 p5 299 N p6->p5
0.0200 VerifyPubKeyp4 1312 1 0.0100 p4 p3 299 N p4->p3
0.0300 KemPubKeyp5 2100 1 0.0200 p5 p6 299 N p5->p6
0.0300 KemPubKeyp3 2096 1 0.0100 p3 p4 299 N p3->p4
0.0400 CiphertextFromp4 2102 1 0.0100 p4 p3 299 N p4->p3
0.0400 CiphertextFromp6 2092 1 0.0100 p6 p5 299 N p6->p5
109.0800 KemPubKeyp2 2099 1 0.0100 p2 p3 299 N p2->p3
109.0900 VerifyPubKeyp3 1312 1 0.0100 p3 p2 299 N p3->p2
109.1000 CiphertextFromp3 2108 1 0.0200 p3 p2 299 N p3->p2
117.4800 VerifyPubKeyp4 1312 1 0.0100 p4 p2 299 N p4->p2
117.4900 KemPubKeyp2 2099 1 0.0100 p2 p4 299 N p2->p4
117.5000 CiphertextFromp4 2102 1 0.0100 p4 p2 299 N p4->p2
357.8200 VerifyPubKeyp7 1312 1 0.0100 p7 p2 299 N p7->p2
357.8300 KemPubKeyp2 2099 1 0.0200 p2 p7 299 N p2->p7
357.8400 CiphertextFromp7 2083 1 0.0100 p7 p2 299 N p7->p2
396.7800 VerifyPubKeyp6 1312 1 0.0100 p6 p3 299 N p6->p3
396.7900 KemPubKeyp3 2096 1 0.0200 p3 p6 299 N p3->p6
396.8000 CiphertextFromp6 2106 1 0.0100 p6 p3 299 N p6->p3
431.0400 KemPubKeyp3 2096 1 0.0100 p3 p5 299 N p3->p5
431.0500 CiphertextFromp5 2109 1 0.0100 p5 p3 299 N p5->p3
431.0600 VerifyPubKeyp5 1312 1 0.0100 p5 p3 299 N p5->p3
745.7400 VerifyPubKeyp9 1312 1 0.0100 p9 p4 299 N p9->p4
745.7500 KemPubKeyp4 2120 1 0.0200 p4 p9 299 N p4->p9
745.7600 CiphertextFromp9 2101 1 0.0100 p9 p4 299 N p9->p4
1080.5800 VerifyPubKeyp6 1312 1 0.0100 p6 p1 299 N p6->p1
1080.5900 KemPubKeyp1 2103 1 0.0100 p1 p6 299 N p1->p6
1080.6000 CiphertextFromp6 2096 1 0.0100 p6 p1 299 N p6->p1
1092.3300 VerifyPubKeyp5 1312 1 0.0100 p5 p1 299 N p5->p1
1092.3400 KemPubKeyp1 2103 1 0.0100 p1 p5 299 N p1->p5
1092.3500 CiphertextFromp5 2091 1 0.0100 p5 p1 299 N p5->p1
1125.0500 KemPubKeyp7 2097 1 0.0100 p7 p9 299 N p7->p9
