# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
0.0200 KemPubKeyp104 2091 1 0.0100 p104 p68 299 N p104->p68
0.0200 KemPubKeyp96 2088 1 0.0100 p96 p97 299 N p96->p97
0.0200 KemPubKeyp67 2104 1 0.0100 p67 p89 299 N p67->p89
0.0200 VerifyPubKeyp8 1312 1 0.0100 p8 p27 299 N p8->p27
0.0200 VerifyPubKeyp2 1312 1 0.0100 p2 p15 299 N p2->p15
0.0200 VerifyPubKeyp87 1312 1 0.0100 p87 p4 299 N p87->p4
0.0200 KemPubKeyp12 2095 1 0.0100 p12 p79 299 N p12->p79
0.0200 VerifyPubKeyp45 1312 1 0.0100 p45 p37 299 N p45->p37
0.0200 VerifyPubKeyp83 1312 1 0.0100 p83 p106 299 N p83->p106
0.0200 KemPubKeyp43 2114 1 0.0100 p43 p77 299 N p43->p77
0.0200 VerifyPubKeyp66 1312 1 0.0100 p66 p16 299 N p66->p16
0.0200 KemPubKeyp14 2100 1 0.0100 p14 p21 299 N p14->p21
0.0200 KemPubKeyp6 2091 1 0.0100 p6 p99 299 N p6->p99
0.0200 KemPubKeyp29 2106 1 0.0100 p29 p86 299 N p29->p86
0.0200 VerifyPubKeyp33 1312 1 0.0100 p33 p11 299 N p33->p11
0.0200 KemPubKeyp5 2097 1 0.0100 p5 p93 299 N p5->p93
0.0200 VerifyPubKeyp92 1312 1 0.0100 p92 p26 299 N p92->p26
0.0200 KemPubKeyp54 2098 1 0.0100 p54 p82 299 N p54->p82
0.0200 KemPubKeyp22 2107 1 0.0100 p22 p58 299 N p22->p58
0.0200 KemPubKeyp28 2105 1 0.0100 p28 p71 299 N p28->p71
0.0200 VerifyPubKeyp81 1312 1 0.0100 p81 p40 299 N p81->p40
0.0200 VerifyPubKeyp90 1312 1 0.0100 p90 p108 299 N p90->p108
0.0200 VerifyPubKeyp64 1312 1 0.0100 p64 p31 299 N p64->p31
0.0200 VerifyPubKeyp65 1312 1 0.0100 p65 p59 299 N p65->p59
0.0200 VerifyPubKeyp61 1312 1 0.0100 p61 p56 299 N p61->p56
0.0200 VerifyPubKeyp101 1312 1 0.0100 p101 p1 299 N p101->p1
0.0200 VerifyPubKeyp41 1312 1 0.0100 p41 p25 299 N p41->p25
0.0200 VerifyPubKeyp7 1312 1 0.0100 p7 p42 299 N p7->p42
