# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
0.0200 VerifyPubKeyp38 1312 1 0.0100 p38 p18 299 N p38->p18
0.0200 VerifyPubKeyp4 1312 1 0.0100 p4 p3 299 N p4->p3
0.0200 KemPubKeyp13 2087 1 0.0100 p13 p34 299 N p13->p34
0.0200 KemPubKeyp10 2085 1 0.0100 p10 p39 299 N p10->p39
0.0200 KemPubKeyp16 2096 1 0.0100 p16 p25 299 N p16->p25
0.0200 KemPubKeyp20 2080 1 0.0100 p20 p30 299 N p20->p30
0.0200 KemPubKeyp0 2095 1 0.0100 p0 p31 299 N p0->p31
0.0200 VerifyPubKeyp27 1312 1 0.0100 p27 p14 299 N p27->p14
0.0200 VerifyPubKeyp23 1312 1 0.0100 p23 p1 299 N p23->p1
0.0200 KemPubKeyp8 2096 1 0.0100 p8 p9 299 N p8->p9
0.0200 KemPubKeyp2 2097 1 0.0100 p2 p36 299 N p2->p36
0.0200 VerifyPubKeyp37 1312 1 0.0100 p37 p11 299 N p37->p11
0.0200 KemPubKeyp12 2095 1 0.0100 p12 p5 299 N p12->p5
0.0200 KemPubKeyp33 2071 1 0.0100 p33 p6 299 N p33->p6
0.0200 VerifyPubKeyp32 1312 1 0.0100 p32 p15 299 N p32->p15
0.0300 CiphertextFromp31 2089 1 0.0100 p31 p0 299 N p31->p0
0.0300 CiphertextFromp36 2101 1 0.0100 p36 p2 299 N p36->p2
0.0300 CiphertextFromp5 2113 1 0.0100 p5 p12 299 N p5->p12
0.0300 CiphertextFromp39 2115 1 0.0100 p39 p10 299 N p39->p10
0.0300 VerifyPubKeyp4 1312 1 0.0100 p4 p38 299 N p4->p38
0.0300 CiphertextFromp34 2119 1 0.0100 p34 p13 299 N p34->p13
0.0300 VerifyPubKeyp30 1312 1 0.0100 p30 p20 299 N p30->p20
0.0300 CiphertextFromp25 2118 1 0.0100 p25 p16 299 N p25->p16
0.0300 VerifyPubKeyp8 1312 1 0.0100 p8 p21 299 N p8->p21
0.0300 KemPubKeyp11 2112 1 0.0100 p11 p37 299 N p11->p37
0.0300 CiphertextFromp6 2090 1 0.0100 p6 p33 299 N p6->p33
0.0400 VerifyPubKeyp31 1312 1 0.0100 p31 p0 299 N p31->p0
0.0400 VerifyPubKeyp34 1312 1 0.0100 p34 p18 299 N p34->p18
0.0400 VerifyPubKeyp39 1312 1 0.0100 p39 p10 299 N p39->p10
0.0400 KemPubKeyp21 2091 1 0.0100 p21 p8 299 N p21->p8
0.0400 KemPubKeyp23 2075 1 0.0100 p23 p25 299 N p23->p25
0.0400 VerifyPubKeyp5 1312 1 0.0100 p5 p12 299 N p5->p12
0.0400 VerifyPubKeyp6 1312 1 0.0100 p6 p15 299 N p6->p15
0.0400 VerifyPubKeyp9 1312 1 0.0100 p9 p14 299 N p9->p14
0.0400 KemPubKeyp29 2094 1 0.0200 p29 p36 299 N p29->p36
0.0400 CiphertextFromp30 2106 1 0.0200 p30 p20 299 N p30->p20
0.0400 KemPubKeyp3 2119 1 0.0200 p3 p4 299 N p3->p4
0.0400 CiphertextFromp37 2071 1 0.0100 p37 p11 299 N p37->p11
0.0500 CiphertextFromp25 2082 1 0.0100 p25 p23 299 N p25->p23
0.0500 KemPubKeyp27 2096 1 0.0200 p27 p9 299 N p27->p9
0.0500 KemPubKeyp16 2096 1 0.0200 p16 p39 299 N p16->p39
0.0500 VerifyPubKeyp18 1312 1 0.0200 p18 p13 299 N p18->p13
0.0500 CiphertextFromp4 2104 1 0.0100 p4 p3 299 N p4->p3
0.0500 CiphertextFromp8 2103 1 0.0100 p8 p21 299 N p8->p21
0.0500 VerifyPubKeyp37 1312 1 0.0100 p37 p2 299 N p37->p2
0.0500 KemPubKeyp34 2086 1 0.0100 p34 p38 299 N p34->p38
0.0500 KemPubKeyp15 2130 1 0.0100 p15 p6 299 N p15->p6
0.0500 CiphertextFromp36 2092 1 0.0100 p36 p29 299 N p36->p29
0.0500 KemPubKeyp1 2097 1 0.0100 p1 p10 299 N p1->p10
0.0600 VerifyPubKeyp4 1312 1 0.0100 p4 p18 299 N p4->p18
0.0600 VerifyPubKeyp34 1312 1 0.0100 p34 p13 299 N p34->p13
0.0600 VerifyPubKeyp23 1312 1 0.0100 p23 p16 299 N p23->p16
0.0600 VerifyPubKeyp33 1312 1 0.0100 p33 p15 299 N p33->p15
0.0600 VerifyPubKeyp27 1312 1 0.0100 p27 p12 299 N p27->p12
0.0600 VerifyPubKeyp8 1312 1 0.0100 p8 p14 299 N p8->p14
0.0600 KemPubKeyp25 2083 1 0.0100 p25 p39 299 N p25->p39
0.0600 VerifyPubKeyp10 1312 1 0.0100 p10 p1 299 N p10->p1
0.0600 KemPubKeyp2 2097 1 0.0200 p2 p37 299 N p2->p37
0.0700 VerifyPubKeyp6 1312 1 0.0100 p6 p33 299 N p6->p33
0.0700 CiphertextFromp37 2111 1 0.0100 p37 p2 299 N p37->p2
0.0700 VerifyPubKeyp9 1312 1 0.0100 p9 p8 299 N p9->p8
0.0700 KemPubKeyp16 2096 1 0.0100 p16 p23 299 N p16->p23
0.0700 VerifyPubKeyp5 1312 1 0.0100 p5 p27 299 N p5->p27
0.0700 CiphertextFromp10 2099 1 0.0200 p10 p1 299 N p10->p1
0.0700 CiphertextFromp39 2098 1 0.0100 p39 p25 299 N p39->p25
0.0700 KemPubKeyp38 2110 1 0.0200 p38 p4 299 N p38->p4
0.0800 VerifyPubKeyp38 1312 1 0.0100 p38 p13 299 N p38->p13
0.0800 CiphertextFromp23 2109 1 0.0100 p23 p16 299 N p23->p16
0.0800 VerifyPubKeyp36 1312 1 0.0100 p36 p10 299 N p36->p10
0.0800 KemPubKeyp14 2117 1 0.0200 p14 p9 299 N p14->p9
0.0800 CiphertextFromp6 2094 1 0.0300 p6 p15 299 N p6->p15
0.0900 CiphertextFromp9 2116 1 0.0100 p9 p14 299 N p9->p14
0.0900 KemPubKeyp12 2095 1 0.0100 p12 p27 299 N p12->p27
0.0900 KemPubKeyp13 2087 1 0.0100 p13 p38 299 N p13->p38
0.0900 KemPubKeyp34 2086 1 0.0100 p34 p4 299 N p34->p4
0.1000 CiphertextFromp38 2109 1 0.0100 p38 p13 299 N p38->p13
0.1000 KemPubKeyp15 2130 1 0.0100 p15 p33 299 N p15->p33
