# time  ID  size  fromHost  toHost  TTL  isResponse
0.0100 VerifyPubKeyp6 1312 p6 p5 300 N 
0.0100 KemPubKeyp6 2128 p6 p9 300 N 
0.0100 VerifyPubKeyp6 1312 p6 p14 300 N 
0.0100 KemPubKeyp15 2103 p15 p5 300 N 
0.0100 VerifyPubKeyp4 1312 p4 p11 300 N 
0.0100 VerifyPubKeyp4 1312 p4 p19 300 N 
0.0100 KemPubKeyp12 2068 p12 p8 300 N 
0.0100 KemPubKeyp11 2093 p11 p4 300 N 
0.0100 KemPubKeyp11 2093 p11 p19 300 N 
0.0100 KemPubKeyp14 2102 p14 p6 300 N 
0.0100 KemPubKeyp14 2102 p14 p9 300 N 
0.0100 KemPubKeyp19 2093 p19 p4 300 N 
0.0100 VerifyPubKeyp19 1312 p19 p11 300 N 
0.0100 VerifyPubKeyp16 1312 p16 p1 300 N 
0.0100 VerifyPubKeyp9 1312 p9 p6 300 N 
0.0100 VerifyPubKeyp9 1312 p9 p14 300 N 
0.0100 VerifyPubKeyp8 1312 p8 p12 300 N 
0.0100 KemPubKeyp10 2096 p10 p16 300 N 
0.0100 KemPubKeyp5 2087 p5 p6 300 N 
0.0100 VerifyPubKeyp5 1312 p5 p15 300 N 
0.0200 KemPubKeyp12 2068 p12 p8 300 N 
0.0200 CiphertextFromp8 2000 p8 p12 300 N 
0.0200 KemPubKeyp1 2115 p1 p16 300 N 
0.0200 KemPubKeyp10 2096 p10 p16 300 N 
0.0200 VerifyPubKeyp4 1312 p4 p11 300 N 
0.0200 VerifyPubKeyp4 1312 p4 p19 300 N 
0.0200 KemPubKeyp5 2087 p5 p6 300 N 
0.0200 VerifyPubKeyp5 1312 p5 p15 300 N 
0.0200 VerifyPubKeyp16 1312 p16 p1 300 N 
0.0200 VerifyPubKeyp16 1312 p16 p10 300 N 
0.0200 VerifyPubKeyp8 1312 p8 p12 300 N 
0.0200 KemPubKeyp11 2093 p11 p4 300 N 
0.0200 KemPubKeyp11 2093 p11 p19 300 N 
0.0200 KemPubKeyp14 2102 p14 p6 300 N 
0.0200 KemPubKeyp14 2102 p14 p9 300 N 
0.0200 KemPubKeyp19 2093 p19 p4 300 N 
0.0200 VerifyPubKeyp19 1312 p19 p11 300 N 
0.0200 KemPubKeyp15 2103 p15 p5 300 N 
0.0200 CiphertextFromp5 2000 p5 p15 300 N 
0.0200 VerifyPubKeyp9 1312 p9 p6 300 N 
0.0200 VerifyPubKeyp9 1312 p9 p14 300 N 
0.0200 VerifyPubKeyp6 1312 p6 p5 300 N 
0.0200 KemPubKeyp6 2128 p6 p9 300 N 
0.0200 VerifyPubKeyp6 1312 p6 p14 300 N 
0.0200 CiphertextFromp9 2000 p9 p6 300 N 
0.0300 VerifyPubKeyp16 1312 p16 p10 300 N 
0.0300 KemPubKeyp1 2115 p1 p16 300 N 
0.0300 KemPubKeyp19 2093 p19 p4 300 N 
0.0300 VerifyPubKeyp19 1312 p19 p11 300 N 
0.0300 CiphertextFromp4 2000 p4 p19 300 N 
0.0300 VerifyPubKeyp9 1312 p9 p6 300 N 
0.0300 VerifyPubKeyp9 1312 p9 p14 300 N 
0.0300 VerifyPubKeyp4 1312 p4 p11 300 N 
0.0300 KemPubKeyp14 2102 p14 p6 300 N 
0.0300 KemPubKeyp14 2102 p14 p9 300 N 
0.0300 VerifyPubKeyp6 1312 p6 p5 300 N 
0.0300 VerifyPubKeyp6 1312 p6 p14 300 N 
0.0300 KemPubKeyp11 2093 p11 p4 300 N 
0.0300 KemPubKeyp11 2093 p11 p19 300 N 
0.0300 VerifyPubKeyp8 1312 p8 p12 300 N 
0.0300 KemPubKeyp10 2096 p10 p16 300 N 
0.0300 KemPubKeyp5 2087 p5 p6 300 N 
0.0300 VerifyPubKeyp5 1312 p5 p15 300 N 
0.0400 KemPubKeyp1 2115 p1 p16 300 N 
0.0400 CiphertextFromp16 2000 p16 p1 300 N 
0.0400 VerifyPubKeyp4 1312 p4 p11 300 N 
0.0400 KemPubKeyp5 2087 p5 p6 300 N 
0.0400 VerifyPubKeyp5 1312 p5 p15 300 N 
0.0400 VerifyPubKeyp9 1312 p9 p6 300 N 
0.0400 VerifyPubKeyp9 1312 p9 p14 300 N 
0.0400 KemPubKeyp10 2096 p10 p16 300 N 
0.0400 KemPubKeyp14 2102 p14 p6 300 N 
0.0400 KemPubKeyp14 2102 p14 p9 300 N 
0.0400 VerifyPubKeyp6 1312 p6 p5 300 N 
0.0400 VerifyPubKeyp19 1312 p19 p11 300 N 
0.0400 KemPubKeyp11 2093 p11 p4 300 N 
0.0400 KemPubKeyp11 2093 p11 p19 300 N 
0.0500 VerifyPubKeyp6 1312 p6 p5 300 N 
0.0500 KemPubKeyp11 2093 p11 p4 300 N 
0.0500 KemPubKeyp11 2093 p11 p19 300 N 
0.0500 VerifyPubKeyp4 1312 p4 p11 300 N 
0.0500 KemPubKeyp10 2096 p10 p16 300 N 
0.0500 VerifyPubKeyp9 1312 p9 p6 300 N 
0.0500 VerifyPubKeyp9 1312 p9 p14 300 N 
0.0500 KemPubKeyp14 2102 p14 p6 300 N 
0.0500 KemPubKeyp14 2102 p14 p9 300 N 
0.0500 KemPubKeyp5 2087 p5 p6 300 N 
0.0600 KemPubKeyp10 2096 p10 p16 300 N 
0.0600 CiphertextFromp16 2000 p16 p10 300 N 
0.0600 VerifyPubKeyp4 1312 p4 p11 300 N 
0.0600 KemPubKeyp5 2087 p5 p6 300 N 
0.0600 CiphertextFromp6 2000 p6 p5 300 N 
0.0600 VerifyPubKeyp9 1312 p9 p6 300 N 
0.0600 KemPubKeyp11 2093 p11 p4 300 N 
0.0600 KemPubKeyp11 2093 p11 p19 300 N 
0.0600 KemPubKeyp14 2102 p14 p6 300 N 
