# time  ID  size  fromHost  toHost  TTL  isResponse
0.0100 VerifyPubKeyp77 1312 p77 p7 300 N 
0.0100 VerifyPubKeyp77 1312 p77 p19 300 N 
0.0100 VerifyPubKeyp77 1312 p77 p38 300 N 
0.0100 VerifyPubKeyp77 1312 p77 p48 300 N 
0.0100 VerifyPubKeyp77 1312 p77 p66 300 N 
0.0100 KemPubKeyp77 2112 p77 p79 300 N 
0.0100 VerifyPubKeyp77 1312 p77 p103 300 N 
0.0100 VerifyPubKeyp77 1312 p77 p106 300 N 
0.0100 VerifyPubKeyp77 1312 p77 p107 300 N 
0.0100 KemPubKeyp63 2084 p63 p70 300 N 
0.0100 VerifyPubKeyp63 1312 p63 p109 300 N 
0.0100 VerifyPubKeyp63 1312 p63 p119 300 N 
0.0100 VerifyPubKeyp59 1312 p59 p30 300 N 
0.0100 VerifyPubKeyp93 1312 p93 p5 300 N 
0.0100 VerifyPubKeyp93 1312 p93 p8 300 N 
0.0100 VerifyPubKeyp93 1312 p93 p56 300 N 
0.0100 VerifyPubKeyp93 1312 p93 p76 300 N 
0.0100 VerifyPubKeyp54 1312 p54 p4 300 N 
0.0100 VerifyPubKeyp97 1312 p97 p1 300 N 
0.0100 VerifyPubKeyp97 1312 p97 p82 300 N 
0.0100 VerifyPubKeyp97 1312 p97 p83 300 N 
0.0100 VerifyPubKeyp97 1312 p97 p96 300 N 
0.0100 VerifyPubKeyp97 1312 p97 p54 300 N 
0.0100 KemPubKeyp19 2095 p19 p77 300 N 
0.0100 KemPubKeyp19 2095 p19 p7 300 N 
0.0100 KemPubKeyp19 2095 p19 p35 300 N 
0.0100 KemPubKeyp19 2095 p19 p48 300 N 
0.0100 KemPubKeyp19 2095 p19 p79 300 N 
0.0100 VerifyPubKeyp19 1312 p19 p103 300 N 
0.0100 VerifyPubKeyp19 1312 p19 p106 300 N 
0.0100 VerifyPubKeyp19 1312 p19 p115 300 N 
0.0100 KemPubKeyp114 2111 p114 p2 300 N 
0.0100 KemPubKeyp114 2111 p114 p17 300 N 
0.0100 KemPubKeyp114 2111 p114 p27 300 N 
0.0100 KemPubKeyp114 2111 p114 p42 300 N 
0.0100 KemPubKeyp114 2111 p114 p61 300 N 
0.0100 KemPubKeyp114 2111 p114 p72 300 N 
0.0100 KemPubKeyp114 2111 p114 p75 300 N 
0.0100 KemPubKeyp114 2111 p114 p78 300 N 
0.0100 VerifyPubKeyp62 1312 p62 p40 300 N 
0.0100 KemPubKeyp13 2105 p13 p4 300 N 
0.0100 VerifyPubKeyp41 1312 p41 p20 300 N 
0.0100 KemPubKeyp41 2116 p41 p44 300 N 
0.0100 KemPubKeyp41 2116 p41 p85 300 N 
0.0100 VerifyPubKeyp51 1312 p51 p50 300 N 
0.0100 KemPubKeyp51 2113 p51 p91 300 N 
0.0100 KemPubKeyp51 2113 p51 p95 300 N 
0.0100 KemPubKeyp83 2114 p83 p97 300 N 
0.0100 KemPubKeyp83 2114 p83 p96 300 N 
0.0100 VerifyPubKeyp83 1312 p83 p10 300 N 
0.0100 VerifyPubKeyp83 1312 p83 p54 300 N 
0.0100 KemPubKeyp34 2104 p34 p4 300 N 
0.0100 VerifyPubKeyp34 1312 p34 p13 300 N 
0.0100 KemPubKeyp76 2114 p76 p93 300 N 
0.0100 VerifyPubKeyp76 1312 p76 p5 300 N 
0.0100 VerifyPubKeyp76 1312 p76 p57 300 N 
0.0100 KemPubKeyp101 2108 p101 p16 300 N 
0.0100 KemPubKeyp101 2108 p101 p25 300 N 
0.0100 KemPubKeyp101 2108 p101 p29 300 N 
